sourceDat,role,token,resolved,resolution,domain,hash,disposition,format,width,height
b/aca/b.dat,top:shadow,b\s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\s.png,EXACT,BACKGROUND,060FB5320E5C89505F699A8307ECE40333A95AAEDA7F6A391F7E5CE3EAFA90D6,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,37,9
b/aca/b.dat,top:small,b\Aca\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Aca\t.png,EXACT,BACKGROUND,173B2A1BFD442EE94EE3F384556CF7E583B026CD11093AFB3FD2AFFD1594F363,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
b/are/b.dat,top:shadow,b\s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\s.png,EXACT,BACKGROUND,060FB5320E5C89505F699A8307ECE40333A95AAEDA7F6A391F7E5CE3EAFA90D6,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,37,9
b/are/b.dat,top:small,b\Are\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Are\t.png,EXACT,BACKGROUND,74FE63200E773C6B5C3A87BEEC70939845CBC66A168DA9A4277125DA4FD7AB96,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
b/cav/b.dat,top:shadow,b\s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\s.png,EXACT,BACKGROUND,060FB5320E5C89505F699A8307ECE40333A95AAEDA7F6A391F7E5CE3EAFA90D6,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,37,9
b/cav/b.dat,top:small,b\Cav\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Cav\t.png,EXACT,BACKGROUND,C1E0A650BD818725CF0A606C2696731D9DC0D37CB3A0EA45E16F10EFC06835D7,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
b/cli/b.dat,top:shadow,b\s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\s.png,EXACT,BACKGROUND,060FB5320E5C89505F699A8307ECE40333A95AAEDA7F6A391F7E5CE3EAFA90D6,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,37,9
b/cli/b.dat,top:small,b\Cli\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Cli\t.png,EXACT,BACKGROUND,F1431F79D2D159D3EFE4CBC09090D74F76C5324013E8CD8E5EE16295934E8F81,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
b/dee/b.dat,top:shadow,b\s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\s.png,EXACT,BACKGROUND,060FB5320E5C89505F699A8307ECE40333A95AAEDA7F6A391F7E5CE3EAFA90D6,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,37,9
b/dee/b.dat,top:small,b\Dee\t.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\b\Dee\t.png,EXACT,BACKGROUND,07F87CECCA8BD58AACCEABB1833C2EBCFAD6491E2930ED4CA488E675BB2F14D5,CLASSIFY_BATTLE_SHARED_VS_USER_EXCLUDED_BEFORE_MIGRATION,PNG,246,127
