path,sheet,field,native,unity
a/tra/tra.dat,0,effectiveFirst,0,65
a/tra/tra.dat,0,effectiveLast,4,80
a/wal/wal.dat,0,effectiveFirst,0,14
a/wal/wal.dat,0,effectiveLast,15,30
a/wat/wat.dat,2,effectiveFirst,36,18
a/wat/wat.dat,2,effectiveLast,47,29
c/ank/ssnk.dat,0,effectiveLast,49,29
c/asu/a/ash.dat,2,effectiveLast,33,34
c/hid/hid.dat,3,effectiveLast,116,126
c/hin/hin.dat,2,effectiveLast,243,242
c/hin/hin.dat,3,effectiveFirst,244,243
c/hin/hin.dat,3,effectiveLast,247,246
c/hin/hin.dat,4,effectiveFirst,248,247
c/hin/hin.dat,4,effectiveLast,377,376
c/hin/hin.dat,5,effectiveFirst,378,377
c/hin/hin.dat,5,effectiveLast,407,406
c/hin/hin.dat,6,effectiveFirst,408,407
c/hin/hin.dat,6,effectiveLast,414,412
c/hin/hin.dat,7,effectiveFirst,415,413
c/jira/a/toad.dat,2,effectiveLast,77,78
c/jira/a/toad.dat,3,effectiveFirst,78,79
c/jira/a/toad.dat,3,effectiveLast,83,84
c/jiro/gol.dat,0,effectiveLast,39,69
c/jiro/gol2.dat,0,effectiveLast,39,69
c/jug/jugo.dat,2,declarationPresence,True,False
c/jug/jugocs2.dat,2,declarationPresence,True,False
c/kan/a/san.dat,1,effectiveLast,31,50
c/kar/a/jug.dat,1,effectiveLast,149,124
c/kib/a/aka.dat,2,effectiveLast,35,32
c/kid/a/kyo.dat,0,effectiveLast,17,27
c/kon/kon.dat,1,effectiveFirst,110,100
c/kon/kon.dat,1,effectiveLast,145,135
c/kon/kon.dat,2,effectiveFirst,146,136
c/kon/kon.dat,2,effectiveLast,151,141
c/kon/kon.dat,3,effectiveFirst,152,142
c/kon/kon.dat,3,effectiveLast,155,145
c/nar/a/4tk.dat,2,effectiveFirst,21,20
c/nar/a/4tk.dat,2,effectiveLast,28,27
c/nar/a/4tk.dat,3,effectiveFirst,29,28
c/nar/a/4tk.dat,3,effectiveLast,36,35
c/oro/a/atk.dat,5,effectiveFirst,46,0
c/oro/a/atk.dat,5,effectiveLast,75,29
c/saku/saku.dat,1,effectiveLast,151,141
c/saku/saku2.dat,1,effectiveLast,151,141
c/sasu/a/mss.dat,5,effectiveFirst,38,0
c/sasu/a/mss.dat,5,effectiveLast,67,29
c/shino/a/bug.dat,1,effectiveLast,24,20
c/shis/shis.dat,2,declarationPresence,True,False
custom/1genma/a/bigdragon.dat,0,effectiveLast,11,8
custom/1genma/a/katon.dat,0,effectiveLast,15,11
m/nin/hun.dat,1,effectiveLast,279,269
m/nin/nin.dat,1,effectiveLast,279,269
m/nin/nin2.dat,1,effectiveLast,279,269
m/san/san.dat,1,effectiveLast,279,269
w/e.dat,0,effectiveLast,11,23
