kind,field,issue,occurrences,explicitOccurrences,nativeNonzeroOccurrences,firstPath,firstFrame,firstSubblock,firstNative,firstUnity,fileCount
bdy,h,PARSED_BODY_FIELD_REVIEW,57,57,57,c/rai/rai.dat,797,3,399,62,2
bdy,w,PARSED_BODY_FIELD_REVIEW,54,54,54,c/rai/rai.dat,797,3,9,43,2
bdy,x,PARSED_BODY_FIELD_REVIEW,54,54,50,c/rai/rai.dat,797,3,9,21,2
bdy,y,PARSED_BODY_FIELD_REVIEW,67,67,67,c/rai/rai.dat,797,3,781000,788000,2
bdy,z,PARSED_BODY_FIELD_REVIEW,86383,0,0,a/ama/ama2.dat,0,0,0,,294
bdy,zwidth,PARSED_BODY_FIELD_REVIEW,86383,1127,1127,a/ama/ama2.dat,0,0,0,,294
cpoint,baction,DTO_FIELD_MISSING,4016,0,0,a/cla/cla.dat,6,0,0,,196
cpoint,cover,TYPED_VALUE_DIFFERENCE,398,0,0,c/ank/ank.dat,130,0,0,131,133
cpoint,drain,DTO_FIELD_MISSING,4016,0,0,a/cla/cla.dat,6,0,0,,196
cpoint,dzaction,DTO_FIELD_MISSING,4016,0,0,a/cla/cla.dat,6,0,0,,196
cpoint,faction,DTO_FIELD_MISSING,4016,0,0,a/cla/cla.dat,6,0,0,,196
cpoint,gain,DTO_FIELD_MISSING,4016,0,0,a/cla/cla.dat,6,0,0,,196
cpoint,injury,TYPED_VALUE_DIFFERENCE,398,0,0,c/ank/ank.dat,130,0,0,132,133
cpoint,recover,DTO_FIELD_MISSING,4016,0,0,a/cla/cla.dat,6,0,0,,196
cpoint,throwvz,TYPED_VALUE_DIFFERENCE,1568,1568,1568,a/cla/cla.dat,6,0,-842150464,-842150451,114
cpoint,uzaction,DTO_FIELD_MISSING,4016,0,0,a/cla/cla.dat,6,0,0,,196
cpoint,z,DTO_FIELD_MISSING,4016,0,0,a/cla/cla.dat,6,0,0,,196
itr,catchingact,REPRESENTATION_SHAPE_REVIEW,19438,548,548,a/ama/ama.dat,86,0,0,,311
itr,caughtact,REPRESENTATION_SHAPE_REVIEW,19438,1354,1354,a/ama/ama.dat,86,0,0,,311
itr,cover,DTO_FIELD_MISSING,19438,1,0,a/ama/ama.dat,86,0,0,,311
itr,drain,DTO_FIELD_MISSING,19438,103,103,a/ama/ama.dat,86,0,0,,311
itr,sound,DTO_FIELD_MISSING,19438,783,783,a/ama/ama.dat,86,0,0,,311
itr,y,TYPED_VALUE_DIFFERENCE,2,2,2,c/rai/rait.dat,723,4,3500,3000,1
itr,z,DTO_FIELD_MISSING,19438,78,78,a/ama/ama.dat,86,0,0,,311
itr,zwidth,TYPED_VALUE_DIFFERENCE,13212,0,0,a/ama/ama.dat,86,0,0,15,301
opoint,action,TYPED_VALUE_DIFFERENCE,2,2,2,c/rai/rait.dat,288,5,120,715,1
opoint,attacking,DTO_FIELD_MISSING,7280,0,0,a/blac/blac.dat,81,0,0,,283
opoint,centerx,DTO_FIELD_MISSING,7280,3,3,a/blac/blac.dat,81,0,0,,283
opoint,centery,DTO_FIELD_MISSING,7280,3,0,a/blac/blac.dat,81,0,0,,283
opoint,centerz,DTO_FIELD_MISSING,7280,3,3,a/blac/blac.dat,81,0,0,,283
opoint,dvx,TYPED_VALUE_DIFFERENCE,1,1,1,c/rai/rait.dat,749,6,-10,0,1
opoint,dvz,DTO_FIELD_MISSING,7280,2,2,a/blac/blac.dat,81,0,0,,283
opoint,effect,DTO_FIELD_MISSING,7280,0,0,a/blac/blac.dat,81,0,0,,283
opoint,facing,TYPED_VALUE_DIFFERENCE,2,2,2,c/rai/rait.dat,288,5,1,0,1
opoint,framea,DTO_FIELD_MISSING,7280,3,3,a/blac/blac.dat,81,0,0,,283
opoint,hp,DTO_FIELD_MISSING,7280,0,0,a/blac/blac.dat,81,0,0,,283
opoint,join,DTO_FIELD_MISSING,7280,0,0,a/blac/blac.dat,81,0,0,,283
opoint,join_pic,DTO_FIELD_MISSING,7280,0,0,a/blac/blac.dat,81,0,0,,283
opoint,join_reserve,DTO_FIELD_MISSING,7280,0,0,a/blac/blac.dat,81,0,0,,283
opoint,mp,DTO_FIELD_MISSING,7280,0,0,a/blac/blac.dat,81,0,0,,283
opoint,oid,TYPED_VALUE_DIFFERENCE,1,1,1,c/rai/rait.dat,749,6,204,447,1
opoint,pic,DTO_FIELD_MISSING,7280,0,0,a/blac/blac.dat,81,0,0,,283
opoint,reserve,DTO_FIELD_MISSING,7280,0,0,a/blac/blac.dat,81,0,0,,283
opoint,team,DTO_FIELD_MISSING,7280,0,0,a/blac/blac.dat,81,0,0,,283
opoint,x,TYPED_VALUE_DIFFERENCE,2,2,1,c/rai/rait.dat,288,5,20,50,1
opoint,y,TYPED_VALUE_DIFFERENCE,2,2,2,c/rai/rait.dat,288,5,84,39,1
opoint,z,DTO_FIELD_MISSING,7280,20,18,a/blac/blac.dat,81,0,0,,283
