side,objectId,type,sourceDat,role,token,resolved,resolution,hash,guid,format,width,height
native,901,0,custom/1genma/genma.dat,bmp:file(0-119),custom\1genma\genma.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\custom\1genma\genma.png,EXACT,91DAA692DE944007390C6601002E509562BFEE5579213C82242F55E466D83FBB,,PNG,800,960
native,901,0,custom/1genma/genma.dat,bmp:head,custom\1genma\genma_f.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\custom\1genma\genma_f.png,EXACT,4EA0BCCAF9FC43E8E1A17F1C6CF2019AE9A78A0944C1EE1EE06CC97B3714C4EF,,PNG,145,223
native,901,0,custom/1genma/genma.dat,bmp:small,custom\1genma\genma_s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\custom\1genma\genma_s.png,EXACT,8B0666C658A82F0E207CC945A2983C8DE01C9EBF72CF2B427FC58217DE07BA84,,PNG,60,54
native,901,0,custom/1genma/genma.dat,bmp:smallb,custom\1genma\genma_sb.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\custom\1genma\genma_sb.png,EXACT,1DD1D7FFC3D92CDFC2C03699D448AADC2571BBFD53028E1F7BBC0F938C278097,,PNG,40,55
native,901,0,custom/1genma/genma.dat,sheet,custom\1genma\genma.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\custom\1genma\genma.png,EXACT,91DAA692DE944007390C6601002E509562BFEE5579213C82242F55E466D83FBB,,PNG,800,960
native,902,3,custom/1genma/a/shuriken.dat,bmp:file(0-1),custom\1genma\a\shuriken.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\custom\1genma\a\shuriken.png,EXACT,9B0484D55D6C7B021118C11DC8B865699B0D60ADD69E9380005CAD3A79CFA62B,,PNG,160,80
native,902,3,custom/1genma/a/shuriken.dat,sheet,custom\1genma\a\shuriken.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\custom\1genma\a\shuriken.png,EXACT,9B0484D55D6C7B021118C11DC8B865699B0D60ADD69E9380005CAD3A79CFA62B,,PNG,160,80
native,903,0,custom/1genma/genmaclone.dat,bmp:file(0-119),custom\1genma\genma.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\custom\1genma\genma.png,EXACT,91DAA692DE944007390C6601002E509562BFEE5579213C82242F55E466D83FBB,,PNG,800,960
native,903,0,custom/1genma/genmaclone.dat,bmp:head,custom\1genma\genma_f.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\custom\1genma\genma_f.png,EXACT,4EA0BCCAF9FC43E8E1A17F1C6CF2019AE9A78A0944C1EE1EE06CC97B3714C4EF,,PNG,145,223
native,903,0,custom/1genma/genmaclone.dat,bmp:small,custom\1genma\genmaclone_s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\custom\1genma\genmaclone_s.png,EXACT,8B0666C658A82F0E207CC945A2983C8DE01C9EBF72CF2B427FC58217DE07BA84,,PNG,60,54
native,903,0,custom/1genma/genmaclone.dat,bmp:smallb,custom\1genma\genmaclone_sb.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\custom\1genma\genmaclone_sb.png,EXACT,1DD1D7FFC3D92CDFC2C03699D448AADC2571BBFD53028E1F7BBC0F938C278097,,PNG,40,55
native,903,0,custom/1genma/genmaclone.dat,sheet,custom\1genma\genma.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\custom\1genma\genma.png,EXACT,91DAA692DE944007390C6601002E509562BFEE5579213C82242F55E466D83FBB,,PNG,800,960
native,904,3,custom/1genma/a/katon.dat,bmp:file(0-11),custom\1genma\a\katon.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\custom\1genma\a\katon.png,EXACT,91797381F2EEA27D6544C91C7FAA3489CE9253D538E80E32120389EAFA478FAB,,PNG,328,332
native,904,3,custom/1genma/a/katon.dat,sheet,custom\1genma\a\katon.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\custom\1genma\a\katon.png,EXACT,91797381F2EEA27D6544C91C7FAA3489CE9253D538E80E32120389EAFA478FAB,,PNG,328,332
native,905,3,custom/1genma/a/smalldragon.dat,bmp:file(0-8),custom\1genma\a\smalldragon.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\custom\1genma\a\smalldragon.png,EXACT,810C6D2C79706D90326783B64955B42AD9D086401AB5FFE6A86F53387386F3F8,,PNG,437,362
native,905,3,custom/1genma/a/smalldragon.dat,sheet,custom\1genma\a\smalldragon.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\custom\1genma\a\smalldragon.png,EXACT,810C6D2C79706D90326783B64955B42AD9D086401AB5FFE6A86F53387386F3F8,,PNG,437,362
native,906,3,custom/1genma/a/bigdragon.dat,bmp:file(0-8),custom\1genma\a\bigdragon.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\custom\1genma\a\bigdragon.png,EXACT,BE993FC5E35C88FF68AD74DE336C80CAEC5BF6A39B5AE42E01AE2ADA943CABF7,,PNG,1082,872
native,906,3,custom/1genma/a/bigdragon.dat,sheet,custom\1genma\a\bigdragon.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\custom\1genma\a\bigdragon.png,EXACT,BE993FC5E35C88FF68AD74DE336C80CAEC5BF6A39B5AE42E01AE2ADA943CABF7,,PNG,1082,872
native,907,3,custom/1genma/a/wind.dat,bmp:file(0-4),custom\1genma\a\wind.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\custom\1genma\a\wind.png,EXACT,96C74197C076FB117A44DCD2F5240E6FF828D151E56080165BF445E88CA5C076,,PNG,799,320
native,907,3,custom/1genma/a/wind.dat,sheet,custom\1genma\a\wind.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\custom\1genma\a\wind.png,EXACT,96C74197C076FB117A44DCD2F5240E6FF828D151E56080165BF445E88CA5C076,,PNG,799,320
native,50,0,m/ton/ton.dat,bmp:file(0-49),m\ton\ton.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\m\ton\ton.png,EXACT,13494F988BF2B97A38F8FAC9564DB076F4525E0FA8DAE05B006D0C11854DEEC0,,PNG,799,399
native,50,0,m/ton/ton.dat,bmp:head,sprite\face\pig_f.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\sprite\face\pig_f.png,EXACT,690AECDC4DB69EC167957E31A8AA2C2D35097E07E43C2B6BC9A8BB6E5DAAFBAA,,PNG,145,223
native,50,0,m/ton/ton.dat,bmp:small,sprite\small\pig_s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\sprite\small\pig_s.png,EXACT,182921E577028FB5DED646CFF082CCD38615427344D662AB787E0A55D7D2425B,,PNG,60,54
native,50,0,m/ton/ton.dat,bmp:smallb,sprite\smallb\pig_s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\sprite\smallb\pig_s.png,EXACT,E609AA73EBED355ABA6FFED6A24C6865139AE454C1B5238D3F46AC582AECFDDB,,PNG,40,55
native,50,0,m/ton/ton.dat,sheet,m\ton\ton.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\m\ton\ton.png,EXACT,13494F988BF2B97A38F8FAC9564DB076F4525E0FA8DAE05B006D0C11854DEEC0,,PNG,799,399
native,39,0,m/san/san.dat,bmp:file(0-139),m\san\san.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\m\san\san.png,EXACT,52184A39CBAEF60BAD5BCE76F2E16BA9296DBB32E19DE537C16E523D62C48C17,,PNG,799,559
native,39,0,m/san/san.dat,bmp:file(140-269),m\san\san2.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\m\san\san2.png,EXACT,4D509F167C3866361D7A8F3654426CC8745B7D4700A6565F1AA5B650316D7C07,,PNG,799,559
native,39,0,m/san/san.dat,bmp:head,sprite\face\sand_f.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\sprite\face\sand_f.png,EXACT,6070C69E386783FDD3F8C88F194FBD302F2CCD8BE6ACE131DA7AD5C8694EF612,,PNG,145,223
native,39,0,m/san/san.dat,bmp:small,sprite\small\sand_s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\sprite\small\sand_s.png,EXACT,AC24BCDA83C1130FAE4C8390C04CD32930B3624F51CE09D82A1D94B24A654A87,,PNG,60,54
native,39,0,m/san/san.dat,bmp:smallb,sprite\smallb\sand_s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\sprite\smallb\sand_s.png,EXACT,1CC75CAE14BECE1BDFAF065DB5EC078F1BDF9C85E27CE4BD6B39A4EDC8FAA916,,PNG,40,51
native,39,0,m/san/san.dat,sheet,m\san\san.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\m\san\san.png,EXACT,52184A39CBAEF60BAD5BCE76F2E16BA9296DBB32E19DE537C16E523D62C48C17,,PNG,799,559
native,39,0,m/san/san.dat,sheet,m\san\san2.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\m\san\san2.png,EXACT,4D509F167C3866361D7A8F3654426CC8745B7D4700A6565F1AA5B650316D7C07,,PNG,799,559
native,32,0,m/nin/hun.dat,bmp:file(0-139),m\nin\hun.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\m\nin\hun.png,EXACT,F9BB8F40A7D9FAA4D516ABB2147F640913AC3248EFD8693A8A4C485D50DB3C9D,,PNG,799,480
native,32,0,m/nin/hun.dat,bmp:file(140-269),m\nin\hun.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\m\nin\hun.png,EXACT,F9BB8F40A7D9FAA4D516ABB2147F640913AC3248EFD8693A8A4C485D50DB3C9D,,PNG,799,480
native,32,0,m/nin/hun.dat,bmp:head,sprite\face\hunter_f.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\sprite\face\hunter_f.png,EXACT,FA4A2539FD0E7E698B3B870180AF2DC0BEB3CF07BB9E489B50D6907F2703B6D9,,PNG,145,223
native,32,0,m/nin/hun.dat,bmp:small,sprite\small\hunter_s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\sprite\small\hunter_s.png,EXACT,B28517687C1228F12060117B37371B67157A8E4F822B83CD2CB73CBF89DA7623,,PNG,60,54
native,32,0,m/nin/hun.dat,bmp:smallb,sprite\smallb\hunter_s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\sprite\smallb\hunter_s.png,EXACT,BC80DB4D521BA3AD8887E4489B483575E73C8DB6539274F9A097A938E346F191,,PNG,40,55
native,32,0,m/nin/hun.dat,sheet,m\nin\hun.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\m\nin\hun.png,EXACT,F9BB8F40A7D9FAA4D516ABB2147F640913AC3248EFD8693A8A4C485D50DB3C9D,,PNG,799,480
native,31,0,m/nin/nin2.dat,bmp:file(0-139),m\nin\nin2.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\m\nin\nin2.png,EXACT,6A6FCBB0749C120B2D82EB1338945D6DBED1D640F337A572ECB969A2021761DF,,PNG,799,560
native,31,0,m/nin/nin2.dat,bmp:file(140-269),m\nin\nin2.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\m\nin\nin2.png,EXACT,6A6FCBB0749C120B2D82EB1338945D6DBED1D640F337A572ECB969A2021761DF,,PNG,799,560
native,31,0,m/nin/nin2.dat,bmp:head,sprite\face\sound_nin2_f.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\sprite\face\sound_nin2_f.png,EXACT,91D8D4802B819E9F5DCE72A6FA33E7FC9361C5F6C2921038C7E4421812CEB09B,,PNG,145,223
native,31,0,m/nin/nin2.dat,bmp:small,sprite\small\sound_nin2_s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\sprite\small\sound_nin2_s.png,EXACT,68396DB42787B9D1A92A89A028FC2724AB29601492FDEDEBBFFDD7E1C1983343,,PNG,60,54
native,31,0,m/nin/nin2.dat,bmp:smallb,sprite\smallb\sound_nin2_s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\sprite\smallb\sound_nin2_s.png,EXACT,B7D82D96948839863EC701E8322B1289D64D4C662EA1E7E6AFB507B8F293AE22,,PNG,40,55
native,31,0,m/nin/nin2.dat,sheet,m\nin\nin2.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\m\nin\nin2.png,EXACT,6A6FCBB0749C120B2D82EB1338945D6DBED1D640F337A572ECB969A2021761DF,,PNG,799,560
native,30,0,m/nin/nin.dat,bmp:file(0-139),m\nin\nin.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\m\nin\nin.png,EXACT,40BA789CDEC1FC4302C7C127A0915E59AD7E0766B4474D51CEF9E1D9ECCE0550,,PNG,799,560
native,30,0,m/nin/nin.dat,bmp:file(140-269),m\nin\nin3.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\m\nin\nin3.png,EXACT,FCEE956F484FCCBCEA6CF6E33F17BE119D89368F4493C066ECB0FAB1CF94C363,,PNG,799,560
native,30,0,m/nin/nin.dat,bmp:head,sprite\face\sound_nin_f.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\sprite\face\sound_nin_f.png,EXACT,652506CA01A36D94C0BF02AE178F883F96B365F5C0CB10C2D7E80816F985161A,,PNG,145,223
native,30,0,m/nin/nin.dat,bmp:small,sprite\small\sound_nin_s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\sprite\small\sound_nin_s.png,EXACT,F73C006E9A8D3A576A3064C9DEF7256827CC6310393E6C96143964F283598F49,,PNG,60,54
native,30,0,m/nin/nin.dat,bmp:smallb,sprite\smallb\sound_nin_s.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\sprite\smallb\sound_nin_s.png,EXACT,EB918CF7716C0148F15740C48076D9C5171E5BA16D356717F7E7D491172CC28B,,PNG,40,55
native,30,0,m/nin/nin.dat,sheet,m\nin\nin.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\m\nin\nin.png,EXACT,40BA789CDEC1FC4302C7C127A0915E59AD7E0766B4474D51CEF9E1D9ECCE0550,,PNG,799,560
native,30,0,m/nin/nin.dat,sheet,m\nin\nin3.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\m\nin\nin3.png,EXACT,FCEE956F484FCCBCEA6CF6E33F17BE119D89368F4493C066ECB0FAB1CF94C363,,PNG,799,560
native,500,0,m/hug/hug.dat,bmp:file(0-29),m\hug\hug.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\m\hug\hug.png,EXACT,53810F2573144283C221FD735803F6C7C298D94F8067483363B6994CC6E01FF7,,PNG,799,240
native,500,0,m/hug/hug.dat,bmp:file(30-31),m\hug\pun.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\m\hug\pun.png,EXACT,320E216A665EFC566B3252756E20D4EA649F68FEAFDFE95BB1BD37E174DE9072,,PNG,243,85
native,500,0,m/hug/hug.dat,bmp:head,sprite\face\huge_nin_f.png,J:\QQFile\NTSD2.8.3.3 zip\NTSD2.8.3.3\NTSD 2.8-Logan\resources\runtime\vfs\sprite\face\huge_nin_f.png,EXACT,84228189F548B5B3DD6A83CE382E947C2663BA0DB160841D470B510DE4D4E3D4,,PNG,145,223
