path,status,nativeParseSuccess,unityParseSuccess,unityParserReturned,unityParserDiagnosticErrors,unityFullConverterSuccess,unityIsolatedSubblockFailures,comparisonScope,nativeDiagnosticsCount,unityDiagnosticsCount,firstFrameError,nativeFrames,unityFrames,missingFrames,extraFrames,DTO_FIELD_MISSING,TYPED_VALUE_DIFFERENCE,REPRESENTATION_SHAPE_REVIEW,domain,PARSED_BODY_FIELD_REVIEW,rejectedFrames,rejectedSubblocks,unavailableTypedProjection,nativeProjectionDiagnostic,subblockStructureDifference
a/ama/ama.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,2,,29,29,0,0,52,13,26,INDEXED_OBJECT_DAT,,,,,,
a/ama/ama2.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,3,,21,21,0,0,56,14,28,INDEXED_OBJECT_DAT,30,,,,,
a/blac/blac.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,3,,32,32,0,0,52,,18,INDEXED_OBJECT_DAT,2,,,,,
a/blas/blas.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,2,,11,11,0,0,104,,28,INDEXED_OBJECT_DAT,,,,,,
a/ble/ble.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,1,,4,4,0,0,,,,INDEXED_OBJECT_DAT,,,,,,
a/cha/cha.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,6,,105,105,0,0,228,5,74,INDEXED_OBJECT_DAT,68,,,,,
a/cla/cla.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,9,,115,115,0,0,140,8,22,INDEXED_OBJECT_DAT,,,,,,
a/fir/fir.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,9,,111,111,0,0,696,82,252,INDEXED_OBJECT_DAT,100,,,,,
a/fir/firz.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,4,,28,28,0,0,52,5,10,INDEXED_OBJECT_DAT,10,,,,,
a/fir/fla.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,1,,4,4,0,0,,,,INDEXED_OBJECT_DAT,,,,,,
a/fla/fla.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,2,,15,15,0,0,128,,,INDEXED_OBJECT_DAT,,,,,,
a/fro/fro.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,4,,96,96,0,0,812,49,294,INDEXED_OBJECT_DAT,34,,,,,
a/gro/gro.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,4,,79,79,0,0,172,32,70,INDEXED_OBJECT_DAT,8,,,,,
a/gro/gro2.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,1,,6,6,0,0,,,,INDEXED_OBJECT_DAT,,,,,,
a/hea/hea.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,1,,18,18,0,0,40,10,20,INDEXED_OBJECT_DAT,,,,,,
a/kam/kam.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,5,,52,52,0,0,432,14,88,INDEXED_OBJECT_DAT,22,,,,,
a/kat/kat.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,4,,42,42,0,0,352,19,56,INDEXED_OBJECT_DAT,56,,,,,
a/kat/kat2.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,5,,41,41,0,0,120,10,20,INDEXED_OBJECT_DAT,20,,,,,
a/kat/kat3.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,3,,11,11,0,0,96,3,8,INDEXED_OBJECT_DAT,6,,,,,
a/kat/kat4.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,3,,11,11,0,0,96,3,8,INDEXED_OBJECT_DAT,6,,,,,
a/lig/lig.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,2,,9,9,0,0,12,3,6,INDEXED_OBJECT_DAT,,,,,,
a/meg/meg.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,3,,16,16,0,0,48,,24,INDEXED_OBJECT_DAT,,,,,,
a/pof/god.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,4,,56,56,0,0,56,2,12,INDEXED_OBJECT_DAT,2,,,,,
a/pof/pof.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,1,,4,4,0,0,,,,INDEXED_OBJECT_DAT,,,,,,
a/pof/pof2.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,4,,21,21,0,0,,,,INDEXED_OBJECT_DAT,,,,,,
a/pur/pur.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,2,,61,61,0,0,276,19,50,INDEXED_OBJECT_DAT,50,,,,,
a/roc/roc.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,2,,10,10,0,0,32,,,INDEXED_OBJECT_DAT,,,,,,
a/sna/sna.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,2,,11,11,0,0,16,4,8,INDEXED_OBJECT_DAT,8,,,,,
a/sna/snaoro.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,2,,11,11,0,0,16,4,8,INDEXED_OBJECT_DAT,8,,,,,
a/sna/snasas.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,2,,11,11,0,0,16,4,8,INDEXED_OBJECT_DAT,8,,,,,
a/spi/spi.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,1,,17,17,0,0,,,,INDEXED_OBJECT_DAT,,,,,,
a/tra/tra.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,1,,5,5,0,0,,,,INDEXED_OBJECT_DAT,,,,,,
a/wal/wal.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,2,,18,18,0,0,36,6,18,INDEXED_OBJECT_DAT,14,,,,,
a/wat/wat.dat,SOURCE_PROJECTION_COMPARED,True,True,True,0,True,0,NATIVE_FIELDS_TO_UNITY_SUBBLOCKS_ONLY_EXTRA_UNITY_FIELDS_NOT_SEMANTICALLY_ADJUDICATED,0,4,,58,58,0,0,124,31,62,INDEXED_OBJECT_DAT,62,,,,,
