section,id,nativePath,unityPath,nativeDeclaredFrames,unityDeclaredFrames,nativeOnlyFrameOccurrences,unityOnlyFrameOccurrences,changedCommonFrameFieldBags,firstChangedFrameIds,nativeSpriteDeclarations,unitySpriteDeclarations,classification
object,1,c\saku\saku.dat,Assets/NTSD/Config/Character/sakura.dat,324,233,115,24,209,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12]",2,2,PARTIAL_AST_PROJECTION_ONLY_NOT_CONTENT_EQUALITY_OR_RULE_DEFECT
object,2,c\nar\nar.dat,Assets/NTSD/Config/Character/naruto.dat,498,318,202,22,296,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12]",1,2,PARTIAL_AST_PROJECTION_ONLY_NOT_CONTENT_EQUALITY_OR_RULE_DEFECT
object,3,c\kaka\kaka.dat,Assets/NTSD/Config/Character/kakashi.dat,446,319,148,21,186,"[0, 1, 2, 3, 5, 6, 7, 8, 16, 17, 18, 19]",1,2,PARTIAL_AST_PROJECTION_ONLY_NOT_CONTENT_EQUALITY_OR_RULE_DEFECT
object,4,c\sai\sai.dat,Assets/NTSD/Config/Character/sai.dat,372,276,104,8,268,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12]",2,3,PARTIAL_AST_PROJECTION_ONLY_NOT_CONTENT_EQUALITY_OR_RULE_DEFECT
object,5,c\shino\shino.dat,Assets/NTSD/Config/Character/shino.dat,284,204,90,10,194,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12]",1,2,PARTIAL_AST_PROJECTION_ONLY_NOT_CONTENT_EQUALITY_OR_RULE_DEFECT
object,6,c\saso\Hsa.dat,Assets/NTSD/Config/Character/Hsasori.dat,350,200,171,21,179,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12]",3,4,PARTIAL_AST_PROJECTION_ONLY_NOT_CONTENT_EQUALITY_OR_RULE_DEFECT
object,7,c\lee\lee.dat,Assets/NTSD/Config/Character/rock_lee.dat,446,357,115,26,331,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12]",2,4,PARTIAL_AST_PROJECTION_ONLY_NOT_CONTENT_EQUALITY_OR_RULE_DEFECT
object,8,c\chi\chi.dat,Assets/NTSD/Config/Character/chiyo.dat,371,246,136,11,235,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12]",1,2,PARTIAL_AST_PROJECTION_ONLY_NOT_CONTENT_EQUALITY_OR_RULE_DEFECT
object,9,c\ita\ita.dat,Assets/NTSD/Config/Character/itachi.dat,485,325,180,20,305,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12]",2,4,PARTIAL_AST_PROJECTION_ONLY_NOT_CONTENT_EQUALITY_OR_RULE_DEFECT
object,10,c\dei\dei.dat,Assets/NTSD/Config/Character/deidara.dat,307,225,98,16,209,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12]",1,3,PARTIAL_AST_PROJECTION_ONLY_NOT_CONTENT_EQUALITY_OR_RULE_DEFECT
object,11,c\sasu\sasu.dat,Assets/NTSD/Config/Character/sasuke.dat,397,268,148,19,249,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12]",3,3,PARTIAL_AST_PROJECTION_ONLY_NOT_CONTENT_EQUALITY_OR_RULE_DEFECT
object,12,c\kib\kib.dat,Assets/NTSD/Config/Character/kiba.dat,311,240,93,22,218,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12]",2,3,PARTIAL_AST_PROJECTION_ONLY_NOT_CONTENT_EQUALITY_OR_RULE_DEFECT
object,13,c\yam\yam.dat,Assets/NTSD/Config/Character/yamato.dat,353,247,117,11,236,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12]",5,4,PARTIAL_AST_PROJECTION_ONLY_NOT_CONTENT_EQUALITY_OR_RULE_DEFECT
