id	mode	candidates
inside	ForceBruteForce	1
inside	ForceLegacyUnionAabb	1
inside	ForceRoleAware	1
positive_edge	ForceBruteForce	0
positive_edge	ForceLegacyUnionAabb	0
positive_edge	ForceRoleAware	0
negative_edge	ForceBruteForce	0
negative_edge	ForceLegacyUnionAabb	0
negative_edge	ForceRoleAware	0
outside	ForceBruteForce	0
outside	ForceLegacyUnionAabb	0
outside	ForceRoleAware	0
explicit_zero	ForceBruteForce	0
explicit_zero	ForceLegacyUnionAabb	0
explicit_zero	ForceRoleAware	0
negative_width	ForceBruteForce	1
negative_width	ForceLegacyUnionAabb	1
negative_width	ForceRoleAware	1
body_depth_edge	ForceBruteForce	0
body_depth_edge	ForceLegacyUnionAabb	0
body_depth_edge	ForceRoleAware	0
body_depth_inside	ForceBruteForce	0
body_depth_inside	ForceLegacyUnionAabb	0
body_depth_inside	ForceRoleAware	0
body_z_ignored	ForceBruteForce	1
body_z_ignored	ForceLegacyUnionAabb	1
body_z_ignored	ForceRoleAware	1
itr_z_edge	ForceBruteForce	0
itr_z_edge	ForceLegacyUnionAabb	0
itr_z_edge	ForceRoleAware	0
itr_z_inside	ForceBruteForce	0
itr_z_inside	ForceLegacyUnionAabb	0
itr_z_inside	ForceRoleAware	0
xy_edge	ForceBruteForce	0
xy_edge	ForceLegacyUnionAabb	0
xy_edge	ForceRoleAware	0
missing_body_x	ForceBruteForce	1
missing_body_x	ForceLegacyUnionAabb	1
missing_body_x	ForceRoleAware	1
zero_body_width	ForceBruteForce	1
zero_body_width	ForceLegacyUnionAabb	1
zero_body_width	ForceRoleAware	1
