id	throwvx_bits	throwvy_bits	throwvz_bits	injury	wpoint_x	caughtact	catchingact	pickedact	pickingact
comma_decimal	00000000	00000000	00000000	0	0	1	1	1	1
decimal_prefix	00000000	00000000	00000000	0	0	12	12	12	12
duplicate_last	C0100000	40000000	00000000	2	2	3	5	7	9
exponent	42C80000	42C80000	42C80000	0	0	1	1	1	1
fraction	3FC00000	3FC00000	3FC00000	0	0	1	1	1	1
hex_float	40400000	40400000	40400000	0	0	0	0	0	0
hex_integer	41800000	41800000	41800000	0	0	0	0	0	0
hex_subnormal	80000001	80000001	80000001	0	0	0	0	0	0
infinity	00000000	00000000	00000000	0	0	0	0	0	0
int_max	4F000000	4F000000	4F000000	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647
int_min	CF000000	CF000000	CF000000	-2147483648	-2147483648	-2147483648	-2147483648	-2147483648	-2147483648
int_overflow	4F000000	4F000000	4F000000	0	0	0	0	0	0
int_underflow	CF000000	CF000000	CF000000	0	0	0	0	0	0
invalid_last	00000000	00000000	00000000	0	0	0	0	0	0
leading_dot	3F000000	3F000000	3F000000	0	0	0	0	0	0
leading_plus	40A00000	40A00000	40A00000	0	0	0	0	0	0
leading_zeros	41200000	41200000	41200000	10	10	10	10	10	10
max_finite	7F7FFFFF	7F7FFFFF	7F7FFFFF	0	0	3	3	3	3
minimum_normal	00800000	00800000	00800000	0	0	1	1	1	1
missing	00000000	00000000	00000000	0	0	0	0	0	0
nan	00000000	00000000	00000000	0	0	0	0	0	0
nan_payload	00000000	00000000	00000000	0	0	0	0	0	0
negative_fraction	C0100000	C0100000	C0100000	0	0	-2	-2	-2	-2
negative_infinity	00000000	00000000	00000000	0	0	0	0	0	0
negative_overflow	00000000	00000000	00000000	0	0	-1	-1	-1	-1
negative_underflow	80000000	80000000	80000000	0	0	-7	-7	-7	-7
negative_zero	80000000	80000000	80000000	0	0	0	0	0	0
overflow	00000000	00000000	00000000	0	0	1	1	1	1
packed_actions	00000000	00000000	00000000	6	0	130	403	200	100
plus_zero	00000000	00000000	00000000	0	0	0	0	0	0
positive_zero	00000000	00000000	00000000	0	0	0	0	0	0
round_just_above	3F800001	3F800001	3F800001	0	0	1	1	1	1
round_tie_even	3F800000	3F800000	3F800000	0	0	1	1	1	1
sentinel_rounding	CE48C8C9	CE48C8C9	CE48C8C9	-842150451	-842150451	-842150451	-842150451	-842150451	-842150451
smallest_subnormal	00000001	00000001	00000001	0	0	1	1	1	1
underflow	00000000	00000000	00000000	0	0	7	7	7	7
uppercase_keys	00000000	00000000	00000000	0	0	0	0	0	0
