path	frame	block	type	kind	x	y	w	h	zwidth	z	has_geometry	control_only
bad_depth.dat	0	0	bdy	0	1	2	3	4	0	0	1	0
bad_depth.dat	0	1	itr	0	1	2	3	4	0	0	1	0
case_key.dat	0	0	bdy	0	0	2	3	4	0	0	0	0
case_key.dat	0	1	itr	0	0	2	3	4	0	0	0	0
control_complete.dat	0	0	bdy	100100	0	0	0	0	0	0	1	0
control_complete.dat	0	1	itr	100100	0	0	0	0	0	0	1	0
control_missing.dat	0	0	bdy	100100	1	0	0	0	0	0	0	1
control_missing.dat	0	1	itr	100100	1	0	0	0	0	0	0	1
depth.dat	0	0	bdy	0	1	2	3	4	21	-17	1	0
depth.dat	0	1	itr	0	1	2	3	4	21	-17	1	0
empty.dat	0	0	bdy	0	0	0	0	0	0	0	0	0
empty.dat	0	1	itr	0	0	0	0	0	0	0	0	0
integer_limits.dat	0	0	bdy	0	-2147483648	2147483647	0	0	0	0	1	0
integer_limits.dat	0	1	itr	0	-2147483648	2147483647	0	0	0	0	1	0
last_invalid.dat	0	0	bdy	0	0	2	3	4	0	0	0	0
last_invalid.dat	0	1	itr	0	0	2	3	4	0	0	0	0
last_valid.dat	0	0	bdy	0	9	2	3	4	0	0	1	0
last_valid.dat	0	1	itr	0	9	2	3	4	0	0	1	0
missing_h.dat	0	0	bdy	0	1	1	1	0	0	0	0	0
missing_h.dat	0	1	itr	0	1	1	1	0	0	0	0	0
missing_w.dat	0	0	bdy	0	1	1	0	1	0	0	0	0
missing_w.dat	0	1	itr	0	1	1	0	1	0	0	0	0
missing_x.dat	0	0	bdy	0	0	1	1	1	0	0	0	0
missing_x.dat	0	1	itr	0	0	1	1	1	0	0	0	0
missing_y.dat	0	0	bdy	0	1	0	1	1	0	0	0	0
missing_y.dat	0	1	itr	0	1	0	1	1	0	0	0	0
negative_width.dat	0	0	bdy	0	-10	20	-3	0	-9	13	1	0
negative_width.dat	0	1	itr	0	-10	20	-3	0	-9	13	1	0
ordinary.dat	0	0	bdy	0	1	2	3	4	0	0	1	0
ordinary.dat	0	1	itr	0	1	2	3	4	0	0	1	0
overflow_h.dat	0	0	bdy	0	1	2	3	0	0	0	0	0
overflow_h.dat	0	1	itr	0	1	2	3	0	0	0	0	0
overflow_w.dat	0	0	bdy	0	1	2	0	4	0	0	0	0
overflow_w.dat	0	1	itr	0	1	2	0	4	0	0	0	0
overflow_x.dat	0	0	bdy	0	0	2	3	4	0	0	0	0
overflow_x.dat	0	1	itr	0	0	2	3	4	0	0	0	0
overflow_y.dat	0	0	bdy	0	1	0	3	4	0	0	0	0
overflow_y.dat	0	1	itr	0	1	0	3	4	0	0	0	0
packed_invalid.dat	0	0	bdy	0	12	2	3	4	0	0	1	0
packed_invalid.dat	0	1	itr	0	12	2	3	4	0	0	1	0
plus_h.dat	0	0	bdy	0	1	2	3	0	0	0	0	0
plus_h.dat	0	1	itr	0	1	2	3	0	0	0	0	0
plus_w.dat	0	0	bdy	0	1	2	0	4	0	0	0	0
plus_w.dat	0	1	itr	0	1	2	0	4	0	0	0	0
plus_x.dat	0	0	bdy	0	0	2	3	4	0	0	0	0
plus_x.dat	0	1	itr	0	0	2	3	4	0	0	0	0
plus_y.dat	0	0	bdy	0	1	0	3	4	0	0	0	0
plus_y.dat	0	1	itr	0	1	0	3	4	0	0	0	0
prefix_h.dat	0	0	bdy	0	1	2	3	0	0	0	0	0
prefix_h.dat	0	1	itr	0	1	2	3	0	0	0	0	0
prefix_w.dat	0	0	bdy	0	1	2	0	4	0	0	0	0
prefix_w.dat	0	1	itr	0	1	2	0	4	0	0	0	0
prefix_x.dat	0	0	bdy	0	0	2	3	4	0	0	0	0
prefix_x.dat	0	1	itr	0	0	2	3	4	0	0	0	0
prefix_y.dat	0	0	bdy	0	1	0	3	4	0	0	0	0
prefix_y.dat	0	1	itr	0	1	0	3	4	0	0	0	0
q03_body_depth_edge_attacker.dat	0	0	itr	0	0	0	20	20	0	0	1	0
q03_body_depth_edge_target.dat	0	0	bdy	0	0	0	10	10	5	0	1	0
q03_body_depth_inside_attacker.dat	0	0	itr	0	0	0	20	20	0	0	1	0
q03_body_depth_inside_target.dat	0	0	bdy	0	0	0	10	10	5	0	1	0
q03_body_z_ignored_attacker.dat	0	0	itr	0	0	0	20	20	0	0	1	0
q03_body_z_ignored_target.dat	0	0	bdy	0	0	0	10	10	0	999	1	0
q03_explicit_zero_attacker.dat	0	0	itr	0	0	0	20	20	0	0	1	0
q03_explicit_zero_target.dat	0	0	bdy	0	0	0	10	10	0	0	1	0
q03_inside_attacker.dat	0	0	itr	0	0	0	20	20	0	0	1	0
q03_inside_target.dat	0	0	bdy	0	0	0	10	10	0	0	1	0
q03_itr_z_edge_attacker.dat	0	0	itr	0	0	0	20	20	0	10	1	0
q03_itr_z_edge_target.dat	0	0	bdy	0	0	0	10	10	0	0	1	0
q03_itr_z_inside_attacker.dat	0	0	itr	0	0	0	20	20	0	10	1	0
q03_itr_z_inside_target.dat	0	0	bdy	0	0	0	10	10	0	0	1	0
q03_missing_body_x_attacker.dat	0	0	itr	0	0	0	20	20	0	0	1	0
q03_missing_body_x_target.dat	0	0	bdy	0	0	0	10	10	0	0	0	0
q03_negative_edge_attacker.dat	0	0	itr	0	0	0	20	20	0	0	1	0
q03_negative_edge_target.dat	0	0	bdy	0	0	0	10	10	0	0	1	0
q03_negative_width_attacker.dat	0	0	itr	0	0	0	20	20	-1	0	1	0
q03_negative_width_target.dat	0	0	bdy	0	0	0	10	10	0	0	1	0
q03_outside_attacker.dat	0	0	itr	0	0	0	20	20	0	0	1	0
q03_outside_target.dat	0	0	bdy	0	0	0	10	10	0	0	1	0
q03_positive_edge_attacker.dat	0	0	itr	0	0	0	20	20	0	0	1	0
q03_positive_edge_target.dat	0	0	bdy	0	0	0	10	10	0	0	1	0
q03_xy_edge_attacker.dat	0	0	itr	0	0	0	20	20	0	0	1	0
q03_xy_edge_target.dat	0	0	bdy	0	0	0	10	10	0	0	1	0
q03_zero_body_width_attacker.dat	0	0	itr	0	0	0	20	20	0	0	1	0
q03_zero_body_width_target.dat	0	0	bdy	0	0	0	0	10	0	0	1	0
zero.dat	0	0	bdy	0	0	0	0	0	0	0	1	0
zero.dat	0	1	itr	0	0	0	0	0	0	0	1	0
zero_depth.dat	0	0	bdy	0	1	2	3	4	0	0	1	0
zero_depth.dat	0	1	itr	0	1	2	3	4	0	0	1	0
