path	index	key	value_hex
admission_caption.dat	1	dvy	37
admission_duplicate.dat	1	dvx	35
admission_valid_nine.dat	9	dvy	37
aliases.dat	1	x	30
aliases.dat	1	y	30
aliases.dat	1	w	31
aliases.dat	1	h	31
aliases.dat	1	drain	35
aliases.dat	1	gain	39
aliases.dat	1	sound	3137
aliases.dat	1	cover	3139
aliases.dat	1	confuse	36
aliases.dat	1	confus	32
aliases.dat	1	SOUND	3939
aliases.dat	1	vaction	3737
aliases.dat	1	kill	33
aliases.dat	1	throwvz	3233
aliases.dat	1	caughtact2	3930
field_arest.dat	1	arest	3137
field_bdefend.dat	1	bdefend	3137
field_bound.dat	1	bound	3137
field_catchingact.dat	1	catchingact	3137
field_caughtact.dat	1	caughtact	3137
field_confus.dat	1	confus	3137
field_cover.dat	1	cover	3137
field_dbdefend.dat	1	dbdefend	3137
field_delay.dat	1	delay	3137
field_drain.dat	1	drain	3137
field_dvx.dat	1	dvx	3137
field_dvy.dat	1	dvy	3137
field_dvz.dat	1	dvz	3137
field_dx.dat	1	dx	3137
field_dy.dat	1	dy	3137
field_dz.dat	1	dz	3137
field_effect.dat	1	effect	3137
field_facing.dat	1	facing	3137
field_fall.dat	1	fall	3137
field_gain.dat	1	gain	3137
field_h.dat	1	h	3137
field_injury.dat	1	injury	3137
field_join.dat	1	join	3137
field_kind.dat	1	kind	3137
field_manacle.dat	1	manacle	3137
field_mimic.dat	1	mimic	3137
field_pickedact.dat	1	pickedact	3137
field_pickingact.dat	1	pickingact	3137
field_poison.dat	1	poison	3137
field_recover.dat	1	recover	3137
field_respond.dat	1	respond	3137
field_sound.dat	1	sound	3137
field_spark.dat	1	spark	3137
field_vrest.dat	1	vrest	3137
field_w.dat	1	w	3137
field_weak.dat	1	weak	3137
field_x.dat	1	x	3137
field_y.dat	1	y	3137
field_z.dat	1	z	3137
field_zwidth.dat	1	zwidth	3137
last.dat	1	drain	39
last.dat	1	drain	31326a756e6b
last.dat	1	sound	2b35
last.dat	1	caughtact	2d38
last.dat	1	catchingact	31326a756e6b
numeric_00.dat	1	kind	30
numeric_00.dat	1	x	30
numeric_00.dat	1	y	30
numeric_00.dat	1	w	30
numeric_00.dat	1	h	30
numeric_00.dat	1	dvx	30
numeric_00.dat	1	dvy	30
numeric_00.dat	1	fall	30
numeric_00.dat	1	arest	30
numeric_00.dat	1	vrest	30
numeric_00.dat	1	respond	30
numeric_00.dat	1	effect	30
numeric_00.dat	1	drain	30
numeric_00.dat	1	spark	30
numeric_00.dat	1	recover	30
numeric_00.dat	1	dbdefend	30
numeric_00.dat	1	bdefend	30
numeric_00.dat	1	injury	30
numeric_00.dat	1	zwidth	30
numeric_00.dat	1	z	30
numeric_00.dat	1	dvz	30
numeric_00.dat	1	sound	30
numeric_00.dat	1	cover	30
numeric_00.dat	1	caughtact	30
numeric_00.dat	1	catchingact	30
numeric_00.dat	1	pickedact	30
numeric_00.dat	1	pickingact	30
numeric_00.dat	1	delay	30
numeric_00.dat	1	poison	30
numeric_00.dat	1	confus	30
numeric_00.dat	1	weak	30
numeric_00.dat	1	manacle	30
numeric_00.dat	1	join	30
numeric_00.dat	1	mimic	30
numeric_00.dat	1	bound	30
numeric_00.dat	1	facing	30
numeric_00.dat	1	dx	30
numeric_00.dat	1	dy	30
numeric_00.dat	1	dz	30
numeric_00.dat	1	gain	30
numeric_01.dat	1	kind	2d30
numeric_01.dat	1	x	2d30
numeric_01.dat	1	y	2d30
numeric_01.dat	1	w	2d30
numeric_01.dat	1	h	2d30
numeric_01.dat	1	dvx	2d30
numeric_01.dat	1	dvy	2d30
numeric_01.dat	1	fall	2d30
numeric_01.dat	1	arest	2d30
numeric_01.dat	1	vrest	2d30
numeric_01.dat	1	respond	2d30
numeric_01.dat	1	effect	2d30
numeric_01.dat	1	drain	2d30
numeric_01.dat	1	spark	2d30
numeric_01.dat	1	recover	2d30
numeric_01.dat	1	dbdefend	2d30
numeric_01.dat	1	bdefend	2d30
numeric_01.dat	1	injury	2d30
numeric_01.dat	1	zwidth	2d30
numeric_01.dat	1	z	2d30
numeric_01.dat	1	dvz	2d30
numeric_01.dat	1	sound	2d30
numeric_01.dat	1	cover	2d30
numeric_01.dat	1	caughtact	2d30
numeric_01.dat	1	catchingact	2d30
numeric_01.dat	1	pickedact	2d30
numeric_01.dat	1	pickingact	2d30
numeric_01.dat	1	delay	2d30
numeric_01.dat	1	poison	2d30
numeric_01.dat	1	confus	2d30
numeric_01.dat	1	weak	2d30
numeric_01.dat	1	manacle	2d30
numeric_01.dat	1	join	2d30
numeric_01.dat	1	mimic	2d30
numeric_01.dat	1	bound	2d30
numeric_01.dat	1	facing	2d30
numeric_01.dat	1	dx	2d30
numeric_01.dat	1	dy	2d30
numeric_01.dat	1	dz	2d30
numeric_01.dat	1	gain	2d30
numeric_02.dat	1	kind	2b35
numeric_02.dat	1	x	2b35
numeric_02.dat	1	y	2b35
numeric_02.dat	1	w	2b35
numeric_02.dat	1	h	2b35
numeric_02.dat	1	dvx	2b35
numeric_02.dat	1	dvy	2b35
numeric_02.dat	1	fall	2b35
numeric_02.dat	1	arest	2b35
numeric_02.dat	1	vrest	2b35
numeric_02.dat	1	respond	2b35
numeric_02.dat	1	effect	2b35
numeric_02.dat	1	drain	2b35
numeric_02.dat	1	spark	2b35
numeric_02.dat	1	recover	2b35
numeric_02.dat	1	dbdefend	2b35
numeric_02.dat	1	bdefend	2b35
numeric_02.dat	1	injury	2b35
numeric_02.dat	1	zwidth	2b35
numeric_02.dat	1	z	2b35
numeric_02.dat	1	dvz	2b35
numeric_02.dat	1	sound	2b35
numeric_02.dat	1	cover	2b35
numeric_02.dat	1	caughtact	2b35
numeric_02.dat	1	catchingact	2b35
numeric_02.dat	1	pickedact	2b35
numeric_02.dat	1	pickingact	2b35
numeric_02.dat	1	delay	2b35
numeric_02.dat	1	poison	2b35
numeric_02.dat	1	confus	2b35
numeric_02.dat	1	weak	2b35
numeric_02.dat	1	manacle	2b35
numeric_02.dat	1	join	2b35
numeric_02.dat	1	mimic	2b35
numeric_02.dat	1	bound	2b35
numeric_02.dat	1	facing	2b35
numeric_02.dat	1	dx	2b35
numeric_02.dat	1	dy	2b35
numeric_02.dat	1	dz	2b35
numeric_02.dat	1	gain	2b35
numeric_03.dat	1	kind	32313437343833363437
numeric_03.dat	1	x	32313437343833363437
numeric_03.dat	1	y	32313437343833363437
numeric_03.dat	1	w	32313437343833363437
numeric_03.dat	1	h	32313437343833363437
numeric_03.dat	1	dvx	32313437343833363437
numeric_03.dat	1	dvy	32313437343833363437
numeric_03.dat	1	fall	32313437343833363437
numeric_03.dat	1	arest	32313437343833363437
numeric_03.dat	1	vrest	32313437343833363437
numeric_03.dat	1	respond	32313437343833363437
numeric_03.dat	1	effect	32313437343833363437
numeric_03.dat	1	drain	32313437343833363437
numeric_03.dat	1	spark	32313437343833363437
numeric_03.dat	1	recover	32313437343833363437
numeric_03.dat	1	dbdefend	32313437343833363437
numeric_03.dat	1	bdefend	32313437343833363437
numeric_03.dat	1	injury	32313437343833363437
numeric_03.dat	1	zwidth	32313437343833363437
numeric_03.dat	1	z	32313437343833363437
numeric_03.dat	1	dvz	32313437343833363437
numeric_03.dat	1	sound	32313437343833363437
numeric_03.dat	1	cover	32313437343833363437
numeric_03.dat	1	caughtact	32313437343833363437
numeric_03.dat	1	catchingact	32313437343833363437
numeric_03.dat	1	pickedact	32313437343833363437
numeric_03.dat	1	pickingact	32313437343833363437
numeric_03.dat	1	delay	32313437343833363437
numeric_03.dat	1	poison	32313437343833363437
numeric_03.dat	1	confus	32313437343833363437
numeric_03.dat	1	weak	32313437343833363437
numeric_03.dat	1	manacle	32313437343833363437
numeric_03.dat	1	join	32313437343833363437
numeric_03.dat	1	mimic	32313437343833363437
numeric_03.dat	1	bound	32313437343833363437
numeric_03.dat	1	facing	32313437343833363437
numeric_03.dat	1	dx	32313437343833363437
numeric_03.dat	1	dy	32313437343833363437
numeric_03.dat	1	dz	32313437343833363437
numeric_03.dat	1	gain	32313437343833363437
numeric_04.dat	1	kind	32313437343833363438
numeric_04.dat	1	x	32313437343833363438
numeric_04.dat	1	y	32313437343833363438
numeric_04.dat	1	w	32313437343833363438
numeric_04.dat	1	h	32313437343833363438
numeric_04.dat	1	dvx	32313437343833363438
numeric_04.dat	1	dvy	32313437343833363438
numeric_04.dat	1	fall	32313437343833363438
numeric_04.dat	1	arest	32313437343833363438
numeric_04.dat	1	vrest	32313437343833363438
numeric_04.dat	1	respond	32313437343833363438
numeric_04.dat	1	effect	32313437343833363438
numeric_04.dat	1	drain	32313437343833363438
numeric_04.dat	1	spark	32313437343833363438
numeric_04.dat	1	recover	32313437343833363438
numeric_04.dat	1	dbdefend	32313437343833363438
numeric_04.dat	1	bdefend	32313437343833363438
numeric_04.dat	1	injury	32313437343833363438
numeric_04.dat	1	zwidth	32313437343833363438
numeric_04.dat	1	z	32313437343833363438
numeric_04.dat	1	dvz	32313437343833363438
numeric_04.dat	1	sound	32313437343833363438
numeric_04.dat	1	cover	32313437343833363438
numeric_04.dat	1	caughtact	32313437343833363438
numeric_04.dat	1	catchingact	32313437343833363438
numeric_04.dat	1	pickedact	32313437343833363438
numeric_04.dat	1	pickingact	32313437343833363438
numeric_04.dat	1	delay	32313437343833363438
numeric_04.dat	1	poison	32313437343833363438
numeric_04.dat	1	confus	32313437343833363438
numeric_04.dat	1	weak	32313437343833363438
numeric_04.dat	1	manacle	32313437343833363438
numeric_04.dat	1	join	32313437343833363438
numeric_04.dat	1	mimic	32313437343833363438
numeric_04.dat	1	bound	32313437343833363438
numeric_04.dat	1	facing	32313437343833363438
numeric_04.dat	1	dx	32313437343833363438
numeric_04.dat	1	dy	32313437343833363438
numeric_04.dat	1	dz	32313437343833363438
numeric_04.dat	1	gain	32313437343833363438
numeric_05.dat	1	kind	2d32313437343833363438
numeric_05.dat	1	x	2d32313437343833363438
numeric_05.dat	1	y	2d32313437343833363438
numeric_05.dat	1	w	2d32313437343833363438
numeric_05.dat	1	h	2d32313437343833363438
numeric_05.dat	1	dvx	2d32313437343833363438
numeric_05.dat	1	dvy	2d32313437343833363438
numeric_05.dat	1	fall	2d32313437343833363438
numeric_05.dat	1	arest	2d32313437343833363438
numeric_05.dat	1	vrest	2d32313437343833363438
numeric_05.dat	1	respond	2d32313437343833363438
numeric_05.dat	1	effect	2d32313437343833363438
numeric_05.dat	1	drain	2d32313437343833363438
numeric_05.dat	1	spark	2d32313437343833363438
numeric_05.dat	1	recover	2d32313437343833363438
numeric_05.dat	1	dbdefend	2d32313437343833363438
numeric_05.dat	1	bdefend	2d32313437343833363438
numeric_05.dat	1	injury	2d32313437343833363438
numeric_05.dat	1	zwidth	2d32313437343833363438
numeric_05.dat	1	z	2d32313437343833363438
numeric_05.dat	1	dvz	2d32313437343833363438
numeric_05.dat	1	sound	2d32313437343833363438
numeric_05.dat	1	cover	2d32313437343833363438
numeric_05.dat	1	caughtact	2d32313437343833363438
numeric_05.dat	1	catchingact	2d32313437343833363438
numeric_05.dat	1	pickedact	2d32313437343833363438
numeric_05.dat	1	pickingact	2d32313437343833363438
numeric_05.dat	1	delay	2d32313437343833363438
numeric_05.dat	1	poison	2d32313437343833363438
numeric_05.dat	1	confus	2d32313437343833363438
numeric_05.dat	1	weak	2d32313437343833363438
numeric_05.dat	1	manacle	2d32313437343833363438
numeric_05.dat	1	join	2d32313437343833363438
numeric_05.dat	1	mimic	2d32313437343833363438
numeric_05.dat	1	bound	2d32313437343833363438
numeric_05.dat	1	facing	2d32313437343833363438
numeric_05.dat	1	dx	2d32313437343833363438
numeric_05.dat	1	dy	2d32313437343833363438
numeric_05.dat	1	dz	2d32313437343833363438
numeric_05.dat	1	gain	2d32313437343833363438
numeric_06.dat	1	kind	2d32313437343833363439
numeric_06.dat	1	x	2d32313437343833363439
numeric_06.dat	1	y	2d32313437343833363439
numeric_06.dat	1	w	2d32313437343833363439
numeric_06.dat	1	h	2d32313437343833363439
numeric_06.dat	1	dvx	2d32313437343833363439
numeric_06.dat	1	dvy	2d32313437343833363439
numeric_06.dat	1	fall	2d32313437343833363439
numeric_06.dat	1	arest	2d32313437343833363439
numeric_06.dat	1	vrest	2d32313437343833363439
numeric_06.dat	1	respond	2d32313437343833363439
numeric_06.dat	1	effect	2d32313437343833363439
numeric_06.dat	1	drain	2d32313437343833363439
numeric_06.dat	1	spark	2d32313437343833363439
numeric_06.dat	1	recover	2d32313437343833363439
numeric_06.dat	1	dbdefend	2d32313437343833363439
numeric_06.dat	1	bdefend	2d32313437343833363439
numeric_06.dat	1	injury	2d32313437343833363439
numeric_06.dat	1	zwidth	2d32313437343833363439
numeric_06.dat	1	z	2d32313437343833363439
numeric_06.dat	1	dvz	2d32313437343833363439
numeric_06.dat	1	sound	2d32313437343833363439
numeric_06.dat	1	cover	2d32313437343833363439
numeric_06.dat	1	caughtact	2d32313437343833363439
numeric_06.dat	1	catchingact	2d32313437343833363439
numeric_06.dat	1	pickedact	2d32313437343833363439
numeric_06.dat	1	pickingact	2d32313437343833363439
numeric_06.dat	1	delay	2d32313437343833363439
numeric_06.dat	1	poison	2d32313437343833363439
numeric_06.dat	1	confus	2d32313437343833363439
numeric_06.dat	1	weak	2d32313437343833363439
numeric_06.dat	1	manacle	2d32313437343833363439
numeric_06.dat	1	join	2d32313437343833363439
numeric_06.dat	1	mimic	2d32313437343833363439
numeric_06.dat	1	bound	2d32313437343833363439
numeric_06.dat	1	facing	2d32313437343833363439
numeric_06.dat	1	dx	2d32313437343833363439
numeric_06.dat	1	dy	2d32313437343833363439
numeric_06.dat	1	dz	2d32313437343833363439
numeric_06.dat	1	gain	2d32313437343833363439
numeric_07.dat	1	kind	31326a756e6b
numeric_07.dat	1	x	31326a756e6b
numeric_07.dat	1	y	31326a756e6b
numeric_07.dat	1	w	31326a756e6b
numeric_07.dat	1	h	31326a756e6b
numeric_07.dat	1	dvx	31326a756e6b
numeric_07.dat	1	dvy	31326a756e6b
numeric_07.dat	1	fall	31326a756e6b
numeric_07.dat	1	arest	31326a756e6b
numeric_07.dat	1	vrest	31326a756e6b
numeric_07.dat	1	respond	31326a756e6b
numeric_07.dat	1	effect	31326a756e6b
numeric_07.dat	1	drain	31326a756e6b
numeric_07.dat	1	spark	31326a756e6b
numeric_07.dat	1	recover	31326a756e6b
numeric_07.dat	1	dbdefend	31326a756e6b
numeric_07.dat	1	bdefend	31326a756e6b
numeric_07.dat	1	injury	31326a756e6b
numeric_07.dat	1	zwidth	31326a756e6b
numeric_07.dat	1	z	31326a756e6b
numeric_07.dat	1	dvz	31326a756e6b
numeric_07.dat	1	sound	31326a756e6b
numeric_07.dat	1	cover	31326a756e6b
numeric_07.dat	1	caughtact	31326a756e6b
numeric_07.dat	1	catchingact	31326a756e6b
numeric_07.dat	1	pickedact	31326a756e6b
numeric_07.dat	1	pickingact	31326a756e6b
numeric_07.dat	1	delay	31326a756e6b
numeric_07.dat	1	poison	31326a756e6b
numeric_07.dat	1	confus	31326a756e6b
numeric_07.dat	1	weak	31326a756e6b
numeric_07.dat	1	manacle	31326a756e6b
numeric_07.dat	1	join	31326a756e6b
numeric_07.dat	1	mimic	31326a756e6b
numeric_07.dat	1	bound	31326a756e6b
numeric_07.dat	1	facing	31326a756e6b
numeric_07.dat	1	dx	31326a756e6b
numeric_07.dat	1	dy	31326a756e6b
numeric_07.dat	1	dz	31326a756e6b
numeric_07.dat	1	gain	31326a756e6b
numeric_08.dat	1	kind	316532
