id	float_bits	strict_int	first_int	strict_valid
0	00000000	0	0	0
1	BF800000	0	-1	0
2	C1200000	0	-10	0
3	C124CCCC	0	-10	0
4	C2DC0000	-110	-110	1
5	C1400000	0	-12	0
6	C2F00000	-120	-120	1
7	C1500000	0	-13	0
8	C1566666	0	-13	0
9	C15CCCCD	0	-13	0
10	C1600000	0	-14	0
11	C164CCCC	0	-14	0
12	C1700000	0	-15	0
13	C174CCCC	0	-15	0
14	C1800000	0	-16	0
15	C1826666	0	-16	0
16	C1840000	0	-16	0
17	C1866666	0	-16	0
18	C1880000	0	-17	0
19	C18A6666	0	-17	0
20	C1926666	0	-18	0
21	C194CCCC	0	-18	0
22	C0000000	0	-2	0
23	C1A26666	0	-20	0
24	C1B80000	0	-23	0
25	C1D26666	0	-26	0
26	C2700000	-60	-60	1
27	00000000	0	0	1
28	00000000	0	0	0
29	3F800000	1	1	1
30	3F800000	0	1	0
31	3FA8F5C3	0	1	0
32	3FC00000	0	1	0
33	41200000	10	10	1
34	41200000	0	10	0
35	42C80000	100	100	1
36	42D20000	105	105	1
37	42D60000	107	107	1
38	44870000	1080	1080	1
39	42DA0000	109	109	1
40	4488E000	1095	1095	1
41	41300000	11	11	1
42	41300000	0	11	0
43	42DC0000	110	110	1
44	44898000	1100	1100	1
45	42DE0000	111	111	1
46	42E00000	112	112	1
47	448C2000	1121	1121	1
48	42E20000	113	113	1
49	42E40000	114	114	1
50	42E60000	115	115	1
51	42EA0000	117	117	1
52	42EC0000	118	118	1
53	42EE0000	119	119	1
54	41400000	12	12	1
55	42F00000	120	120	1
56	42F20000	121	121	1
57	4497E000	1215	1215	1
58	42F60000	123	123	1
59	42F80000	124	124	1
60	42FA0000	125	125	1
61	42FC0000	126	126	1
62	42FE0000	127	127	1
63	43000000	128	128	1
64	43010000	129	129	1
65	41500000	13	13	1
66	41500000	0	13	0
67	41580000	0	13	0
68	43020000	130	130	1
69	44A28000	1300	1300	1
70	43050000	133	133	1
71	43060000	134	134	1
72	43070000	135	135	1
73	430A0000	138	138	1
74	44AD0000	1384	1384	1
75	430B0000	139	139	1
76	41600000	14	14	1
77	41600000	0	14	0
78	4164CCCD	0	14	0
79	41680000	0	14	0
80	430C0000	140	140	1
81	43100000	144	144	1
82	43110000	145	145	1
83	43120000	146	146	1
84	43140000	148	148	1
85	44B96000	1483	1483	1
86	43150000	149	149	1
87	41700000	15	15	1
88	41700000	0	15	0
89	41780000	0	15	0
90	43160000	150	150	1
91	43180000	152	152	1
92	431B0000	155	155	1
93	431C0000	156	156	1
94	431E0000	158	158	1
95	431F0000	159	159	1
96	41800000	16	16	1
97	41800000	0	16	0
98	4181999A	0	16	0
99	41840000	0	16	0
100	4185999A	0	16	0
101	43200000	160	160	1
102	44C80000	1600	1600	1
103	43250000	165	165	1
104	43260000	166	166	1
105	43290000	169	169	1
106	41880000	17	17	1
107	41880000	0	17	0
108	418B3333	0	17	0
109	418C0000	0	17	0
110	432A0000	170	170	1
111	432C0000	172	172	1
112	432D0000	173	173	1
113	432E0000	174	174	1
114	432F0000	175	175	1
115	43310000	177	177	1
116	43330000	179	179	1
117	41900000	18	18	1
118	41900000	0	18	0
119	43340000	180	180	1
120	43350000	181	181	1
121	43390000	185	185	1
122	433A0000	186	186	1
123	41980000	19	19	1
124	41980000	0	19	0
125	41980000	0	19	0
126	419A6666	0	19	0
127	419C0000	0	19	0
128	433E0000	190	190	1
129	433F0000	191	191	1
130	43400000	192	192	1
