id	float_bits	strict_int	first_int
n00000	00000000	0	0
n00001	80000000	0	0
n00002	00000000	0	0
n00003	3F800001	0	1
n00004	80000001	0	0
n00005	41800000	0	0
n00006	00000000	0	1
n00007	80000000	0	-1
n00008	4F000000	0	0
n00009	CF000000	0	0
n00010	00000000	0	12
n00011	40A00000	0	0
n00012	00000000	0	0
n00013	00000000	0	0
n00014	00000000	0	0
n00015	00000000	0	1
n00016	00000000	0	1
n00017	00000000	0	0
n00018	7F7FFFFF	0	0
n00019	00000000	0	0
n00020	00000000	0	0
n00021	00000001	0	0
n00022	9DE67037	0	-6
n00023	791BF15F	0	5
n00024	7386EF34	0	2
n00025	7D9DCD4F	0	2
n00026	97EC9484	0	-1
n00027	173A7F92	0	6
n00028	730548F4	0	1
n00029	183378D0	0	2
n00030	CC396F17	-48610396	-48610396
n00031	E572D7E6	0	-7
n00032	E3B3562C	0	-6
n00033	5AE654AA	0	3
n00034	FDDAD6C9	0	-3
n00035	3A813EB9	0	0
n00036	E44F96B7	0	-1
n00037	A0D38016	0	-3
n00038	1D259AD7	0	2
n00039	62EEF7B1	0	2
n00040	FB21C6EF	0	-8
n00041	CFEC4271	0	-7
n00042	05407DD1	0	9
n00043	57B9B1A0	0	4
n00044	2BF5E79E	0	1
n00045	69266DBF	0	1
n00046	50A14BBF	0	2
n00047	33F52B16	0	1
n00048	1FD18C16	0	8
n00049	50660166	0	1
n00050	6E24E05A	0	1
n00051	65E7B1C9	0	1
n00052	7F6CABD7	0	3
n00053	90CFF6BB	0	-8
n00054	6CEC2F56	0	2
n00055	8BB4DFD5	0	-6
n00056	389ECB33	0	7
n00057	4E0103D1	541127744	541127744
n00058	B901CA5C	0	0
n00059	3DEED05B	0	0
n00060	6D0C0E9A	0	2
n00061	E44187E6	0	-1
n00062	A4847495	0	-5
n00063	F7BB0DDF	0	-7
n00064	465BC374	0	14064
n00065	8127C6E4	0	-3
n00066	7971E520	0	7
n00067	7EF2BA6C	0	1
n00068	EB0ED3EC	0	-1
n00069	6D99A263	0	5
n00070	7BDFCAFA	0	2
n00071	3A5AAA02	0	0
n00072	F23BC819	0	-3
n00073	F6C01AC0	0	-1
n00074	FC79C0A5	0	-5
n00075	C6BFCF9E	0	-24551
n00076	CA07B563	0	-2223448
n00077	D72ADA24	0	-1
n00078	AAAFA061	0	-3
n00079	BB5D32E3	0	0
n00080	195A5C93	0	1
n00081	B3EC050F	0	-1
n00082	2880B95C	0	1
n00083	7279F535	0	4
n00084	7ECD1C14	0	1
n00085	391288E5	0	0
n00086	05625796	0	1
n00087	17E27B9C	0	1
n00088	8353F8D1	0	-6
n00089	8BC874D6	0	-7
n00090	CC8A5F04	-72546336	-72546336
n00091	D92CA08C	0	-3
n00092	A717F71B	0	-2
n00093	8661781D	0	-4
n00094	AC837B8D	0	-3
n00095	C9F2B3DF	0	-1988219
n00096	7F6ACFE3	0	3
n00097	C1FBC540	0	-31
n00098	FE004E93	0	-4
n00099	66C5595C	0	4
n00100	75D96542	0	5
n00101	BEAF5BA2	0	0
n00102	7CCDE260	0	8
n00103	BABBFE90	0	0
n00104	B5AD6EBE	0	-1
n00105	18213019	0	2
n00106	BA3C011E	0	0
n00107	5668FBF8	0	6
n00108	637E84AA	0	4
n00109	4471D073	0	967
n00110	F3542F4B	0	-1
n00111	49FD313A	0	2074151
n00112	050F87CD	0	6
n00113	4511E8B4	0	2334
n00114	6AA9AD13	0	1
n00115	99A8FDB7	0	-1
n00116	0F9AD0CE	0	1
n00117	C5F275A3	0	-7758
n00118	5B8B3C6C	0	7
n00119	58CF4DFA	0	1
n00120	01A5EA9C	0	6
n00121	0738F16E	0	1
n00122	FA80C30A	0	-3
n00123	99914848	0	-1
n00124	87711129	0	-1
n00125	E09B082C	0	-8
n00126	250D537F	0	1
n00127	BEFBBDBE	0	0
n00128	AE1F16DD	0	-3
n00129	1F255CB1	0	3
n00130	9E145C0A	0	-7
n00131	7985AFDF	0	8
n00132	1C3831C7	0	6
n00133	4942564E	0	796004
n00134	BAD211FF	0	0
n00135	A9FFA657	0	-1
n00136	C343F38F	0	-195
n00137	63661BB9	0	4
n00138	C68E886F	0	-18244
n00139	F91E3FB9	0	-5
n00140	E82C5951	0	-3
n00141	5FE1EA56	0	3
n00142	DBCDE0FE	0	-1
n00143	142CACF5	0	8
n00144	684E43FE	0	3
n00145	897BC790	0	-3
n00146	65DB6183	0	1
n00147	60104914	0	4
n00148	AFEAA9B6	0	-4
n00149	2EAD28B9	0	7
n00150	8A335EBD	0	-8
n00151	26422004	0	6
n00152	AE72532B	0	-5
n00153	000E319F	0	1
n00154	702F2C76	0	2
n00155	E431954A	0	-1
n00156	F2F3B7D4	0	-9
n00157	E3864EFE	0	-4
n00158	E51F5B30	0	-4
n00159	FA4B01AD	0	-2
n00160	35271F6C	0	6
n00161	E0BD26BE	0	-1
n00162	8076CAAE	0	-1
n00163	AAC7C880	0	-3
