id	throwvx_bits	throwvy_bits	throwvz_bits	injury	wpoint_x	caughtact	catchingact	pickedact	pickingact
n00000	00000000	00000000	00000000	0	0	0	0	0	0
n00001	80000000	80000000	80000000	0	0	0	0	0	0
n00002	00000000	00000000	00000000	0	0	0	0	0	0
n00003	3F800001	3F800001	3F800001	0	0	1	1	1	1
n00004	80000001	80000001	80000001	0	0	0	0	0	0
n00005	41800000	41800000	41800000	0	0	0	0	0	0
n00006	00000000	00000000	00000000	0	0	1	1	1	1
n00007	80000000	80000000	80000000	0	0	-1	-1	-1	-1
n00008	4F000000	4F000000	4F000000	0	0	0	0	0	0
n00009	CF000000	CF000000	CF000000	0	0	0	0	0	0
n00010	00000000	00000000	00000000	0	0	12	12	12	12
n00011	40A00000	40A00000	40A00000	0	0	0	0	0	0
n00012	00000000	00000000	00000000	0	0	0	0	0	0
n00013	00000000	00000000	00000000	0	0	0	0	0	0
n00014	00000000	00000000	00000000	0	0	0	0	0	0
n00015	00000000	00000000	00000000	0	0	1	1	1	1
n00016	00000000	00000000	00000000	0	0	1	1	1	1
n00017	00000000	00000000	00000000	0	0	0	0	0	0
n00018	7F7FFFFF	7F7FFFFF	7F7FFFFF	0	0	0	0	0	0
n00019	00000000	00000000	00000000	0	0	0	0	0	0
n00020	00000000	00000000	00000000	0	0	0	0	0	0
n00021	00000001	00000001	00000001	0	0	0	0	0	0
n00022	9DE67037	9DE67037	9DE67037	0	0	-6	-6	-6	-6
n00023	791BF15F	791BF15F	791BF15F	0	0	5	5	5	5
n00024	7386EF34	7386EF34	7386EF34	0	0	2	2	2	2
n00025	7D9DCD4F	7D9DCD4F	7D9DCD4F	0	0	2	2	2	2
n00026	97EC9484	97EC9484	97EC9484	0	0	-1	-1	-1	-1
n00027	173A7F92	173A7F92	173A7F92	0	0	6	6	6	6
n00028	730548F4	730548F4	730548F4	0	0	1	1	1	1
n00029	183378D0	183378D0	183378D0	0	0	2	2	2	2
n00030	CC396F17	CC396F17	CC396F17	-48610396	-48610396	-48610396	-48610396	-48610396	-48610396
n00031	E572D7E6	E572D7E6	E572D7E6	0	0	-7	-7	-7	-7
n00032	E3B3562C	E3B3562C	E3B3562C	0	0	-6	-6	-6	-6
n00033	5AE654AA	5AE654AA	5AE654AA	0	0	3	3	3	3
n00034	FDDAD6C9	FDDAD6C9	FDDAD6C9	0	0	-3	-3	-3	-3
n00035	3A813EB9	3A813EB9	3A813EB9	0	0	0	0	0	0
n00036	E44F96B7	E44F96B7	E44F96B7	0	0	-1	-1	-1	-1
n00037	A0D38016	A0D38016	A0D38016	0	0	-3	-3	-3	-3
n00038	1D259AD7	1D259AD7	1D259AD7	0	0	2	2	2	2
n00039	62EEF7B1	62EEF7B1	62EEF7B1	0	0	2	2	2	2
n00040	FB21C6EF	FB21C6EF	FB21C6EF	0	0	-8	-8	-8	-8
n00041	CFEC4271	CFEC4271	CFEC4271	0	0	-7	-7	-7	-7
n00042	05407DD1	05407DD1	05407DD1	0	0	9	9	9	9
n00043	57B9B1A0	57B9B1A0	57B9B1A0	0	0	4	4	4	4
n00044	2BF5E79E	2BF5E79E	2BF5E79E	0	0	1	1	1	1
n00045	69266DBF	69266DBF	69266DBF	0	0	1	1	1	1
n00046	50A14BBF	50A14BBF	50A14BBF	0	0	2	2	2	2
n00047	33F52B16	33F52B16	33F52B16	0	0	1	1	1	1
n00048	1FD18C16	1FD18C16	1FD18C16	0	0	8	8	8	8
n00049	50660166	50660166	50660166	0	0	1	1	1	1
n00050	6E24E05A	6E24E05A	6E24E05A	0	0	1	1	1	1
n00051	65E7B1C9	65E7B1C9	65E7B1C9	0	0	1	1	1	1
n00052	7F6CABD7	7F6CABD7	7F6CABD7	0	0	3	3	3	3
n00053	90CFF6BB	90CFF6BB	90CFF6BB	0	0	-8	-8	-8	-8
n00054	6CEC2F56	6CEC2F56	6CEC2F56	0	0	2	2	2	2
n00055	8BB4DFD5	8BB4DFD5	8BB4DFD5	0	0	-6	-6	-6	-6
n00056	389ECB33	389ECB33	389ECB33	0	0	7	7	7	7
n00057	4E0103D1	4E0103D1	4E0103D1	541127744	541127744	541127744	541127744	541127744	541127744
n00058	B901CA5C	B901CA5C	B901CA5C	0	0	0	0	0	0
