r00000	MA==
r00001	MCA=
r00002	MAk=
r00003	MA0=
r00004	MAo=
r00005	MAs=
r00006	MAw=
r00007	MAA=
r00008	MABqdW5r
r00009	MCBqdW5r
r00010	IDA=
r00011	IDAg
r00012	IDAJ
r00013	IDAN
r00014	IDAK
r00015	IDAL
r00016	IDAM
r00017	IDAA
r00018	IDAAanVuaw==
r00019	IDAganVuaw==
r00020	CTA=
r00021	CTAg
r00022	CTAJ
r00023	CTAN
r00024	CTAK
r00025	CTAL
r00026	CTAM
r00027	CTAA
r00028	CTAAanVuaw==
r00029	CTAganVuaw==
r00030	DTA=
r00031	DTAg
r00032	DTAJ
r00033	DTAN
r00034	DTAK
r00035	DTAL
r00036	DTAM
r00037	DTAA
r00038	DTAAanVuaw==
r00039	DTAganVuaw==
r00040	CjA=
r00041	CjAg
r00042	CjAJ
r00043	CjAN
r00044	CjAK
r00045	CjAL
r00046	CjAM
r00047	CjAA
r00048	CjAAanVuaw==
r00049	CjAganVuaw==
r00050	CzA=
r00051	CzAg
r00052	CzAJ
r00053	CzAN
r00054	CzAK
r00055	CzAL
r00056	CzAM
r00057	CzAA
r00058	CzAAanVuaw==
r00059	CzAganVuaw==
r00060	DDA=
r00061	DDAg
r00062	DDAJ
r00063	DDAN
r00064	DDAK
r00065	DDAL
r00066	DDAM
r00067	DDAA
r00068	DDAAanVuaw==
r00069	DDAganVuaw==
r00070	HDA=
r00071	HDAg
r00072	HDAJ
r00073	HDAN
r00074	HDAK
r00075	HDAL
r00076	HDAM
r00077	HDAA
r00078	HDAAanVuaw==
r00079	HDAganVuaw==
r00080	LTA=
r00081	LTAg
r00082	LTAJ
r00083	LTAN
r00084	LTAK
r00085	LTAL
r00086	LTAM
r00087	LTAA
r00088	LTAAanVuaw==
r00089	LTAganVuaw==
r00090	IC0w
r00091	IC0wIA==
r00092	IC0wCQ==
r00093	IC0wDQ==
r00094	IC0wCg==
r00095	IC0wCw==
r00096	IC0wDA==
r00097	IC0wAA==
r00098	IC0wAGp1bms=
