id	float_bits	strict_int	first_int	strict_valid
r00000	00000000	0	0	1
r00001	00000000	0	0	0
r00002	00000000	0	0	0
r00003	00000000	0	0	0
r00004	00000000	0	0	0
r00005	00000000	0	0	0
r00006	00000000	0	0	0
r00007	00000000	0	0	0
r00008	00000000	0	0	0
r00009	00000000	0	0	0
r00010	00000000	0	0	0
r00011	00000000	0	0	0
r00012	00000000	0	0	0
r00013	00000000	0	0	0
r00014	00000000	0	0	0
r00015	00000000	0	0	0
r00016	00000000	0	0	0
r00017	00000000	0	0	0
r00018	00000000	0	0	0
r00019	00000000	0	0	0
r00020	00000000	0	0	0
r00021	00000000	0	0	0
r00022	00000000	0	0	0
r00023	00000000	0	0	0
r00024	00000000	0	0	0
r00025	00000000	0	0	0
r00026	00000000	0	0	0
r00027	00000000	0	0	0
r00028	00000000	0	0	0
r00029	00000000	0	0	0
r00030	00000000	0	0	0
r00031	00000000	0	0	0
r00032	00000000	0	0	0
r00033	00000000	0	0	0
r00034	00000000	0	0	0
r00035	00000000	0	0	0
r00036	00000000	0	0	0
r00037	00000000	0	0	0
r00038	00000000	0	0	0
r00039	00000000	0	0	0
r00040	00000000	0	0	0
r00041	00000000	0	0	0
r00042	00000000	0	0	0
r00043	00000000	0	0	0
r00044	00000000	0	0	0
r00045	00000000	0	0	0
r00046	00000000	0	0	0
r00047	00000000	0	0	0
r00048	00000000	0	0	0
r00049	00000000	0	0	0
r00050	00000000	0	0	0
r00051	00000000	0	0	0
r00052	00000000	0	0	0
r00053	00000000	0	0	0
r00054	00000000	0	0	0
r00055	00000000	0	0	0
r00056	00000000	0	0	0
r00057	00000000	0	0	0
r00058	00000000	0	0	0
r00059	00000000	0	0	0
r00060	00000000	0	0	0
r00061	00000000	0	0	0
r00062	00000000	0	0	0
r00063	00000000	0	0	0
r00064	00000000	0	0	0
r00065	00000000	0	0	0
r00066	00000000	0	0	0
r00067	00000000	0	0	0
r00068	00000000	0	0	0
r00069	00000000	0	0	0
r00070	00000000	0	0	0
r00071	00000000	0	0	0
r00072	00000000	0	0	0
r00073	00000000	0	0	0
r00074	00000000	0	0	0
r00075	00000000	0	0	0
r00076	00000000	0	0	0
r00077	00000000	0	0	0
r00078	00000000	0	0	0
r00079	00000000	0	0	0
r00080	80000000	0	0	1
r00081	80000000	0	0	0
r00082	80000000	0	0	0
r00083	00000000	0	0	0
r00084	00000000	0	0	0
r00085	00000000	0	0	0
r00086	00000000	0	0	0
r00087	80000000	0	0	0
r00088	80000000	0	0	0
r00089	00000000	0	0	0
r00090	80000000	0	0	0
r00091	80000000	0	0	0
r00092	80000000	0	0	0
r00093	00000000	0	0	0
r00094	00000000	0	0	0
r00095	00000000	0	0	0
r00096	00000000	0	0	0
r00097	80000000	0	0	0
r00098	80000000	0	0	0
r00099	00000000	0	0	0
r00100	80000000	0	0	0
r00101	80000000	0	0	0
r00102	80000000	0	0	0
r00103	00000000	0	0	0
r00104	00000000	0	0	0
r00105	00000000	0	0	0
r00106	00000000	0	0	0
r00107	80000000	0	0	0
r00108	80000000	0	0	0
r00109	00000000	0	0	0
r00110	80000000	0	0	0
r00111	80000000	0	0	0
r00112	80000000	0	0	0
r00113	00000000	0	0	0
r00114	00000000	0	0	0
r00115	00000000	0	0	0
r00116	00000000	0	0	0
r00117	80000000	0	0	0
r00118	80000000	0	0	0
r00119	00000000	0	0	0
r00120	80000000	0	0	0
r00121	80000000	0	0	0
r00122	80000000	0	0	0
r00123	00000000	0	0	0
r00124	00000000	0	0	0
r00125	00000000	0	0	0
r00126	00000000	0	0	0
r00127	80000000	0	0	0
r00128	80000000	0	0	0
r00129	00000000	0	0	0
r00130	80000000	0	0	0
r00131	80000000	0	0	0
r00132	80000000	0	0	0
r00133	00000000	0	0	0
r00134	00000000	0	0	0
r00135	00000000	0	0	0
r00136	00000000	0	0	0
r00137	80000000	0	0	0
r00138	80000000	0	0	0
r00139	00000000	0	0	0
r00140	80000000	0	0	0
r00141	80000000	0	0	0
r00142	80000000	0	0	0
r00143	00000000	0	0	0
r00144	00000000	0	0	0
r00145	00000000	0	0	0
r00146	00000000	0	0	0
r00147	80000000	0	0	0
r00148	80000000	0	0	0
r00149	00000000	0	0	0
r00150	00000000	0	0	0
r00151	00000000	0	0	0
r00152	00000000	0	0	0
r00153	00000000	0	0	0
r00154	00000000	0	0	0
r00155	00000000	0	0	0
r00156	00000000	0	0	0
r00157	00000000	0	0	0
r00158	00000000	0	0	0
r00159	00000000	0	0	0
r00160	00000000	0	0	0
r00161	00000000	0	0	0
r00162	00000000	0	0	0
r00163	00000000	0	0	0
r00164	00000000	0	0	0
r00165	00000000	0	0	0
r00166	00000000	0	0	0
r00167	00000000	0	0	0
r00168	00000000	0	0	0
r00169	00000000	0	0	0
r00170	00000000	0	0	0
r00171	00000000	0	0	0
r00172	00000000	0	0	0
r00173	00000000	0	0	0
r00174	00000000	0	0	0
r00175	00000000	0	0	0
r00176	00000000	0	0	0
r00177	00000000	0	0	0
r00178	00000000	0	0	0
r00179	00000000	0	0	0
r00180	00000000	0	0	0
r00181	00000000	0	0	0
r00182	00000000	0	0	0
r00183	00000000	0	0	0
r00184	00000000	0	0	0
r00185	00000000	0	0	0
r00186	00000000	0	0	0
r00187	00000000	0	0	0
r00188	00000000	0	0	0
r00189	00000000	0	0	0
r00190	00000000	0	0	0
r00191	00000000	0	0	0
r00192	00000000	0	0	0
r00193	00000000	0	0	0
r00194	00000000	0	0	0
r00195	00000000	0	0	0
r00196	00000000	0	0	0
r00197	00000000	0	0	0
r00198	00000000	0	0	0
r00199	00000000	0	0	0
r00200	00000000	0	0	0
r00201	00000000	0	0	0
r00202	00000000	0	0	0
r00203	00000000	0	0	0
r00204	00000000	0	0	0
r00205	00000000	0	0	0
r00206	00000000	0	0	0
r00207	00000000	0	0	0
r00208	00000000	0	0	0
r00209	00000000	0	0	0
r00210	00000000	0	0	0
r00211	00000000	0	0	0
r00212	00000000	0	0	0
r00213	00000000	0	0	0
r00214	00000000	0	0	0
r00215	00000000	0	0	0
r00216	00000000	0	0	0
r00217	00000000	0	0	0
r00218	00000000	0	0	0
r00219	00000000	0	0	0
r00220	00000000	0	0	0
r00221	00000000	0	0	0
r00222	00000000	0	0	0
r00223	00000000	0	0	0
r00224	00000000	0	0	0
r00225	00000000	0	0	0
r00226	00000000	0	0	0
r00227	00000000	0	0	0
r00228	00000000	0	0	0
r00229	00000000	0	0	0
r00230	00000000	0	0	0
r00231	00000000	0	0	0
r00232	00000000	0	0	0
r00233	00000000	0	0	0
r00234	00000000	0	0	0
r00235	00000000	0	0	0
r00236	00000000	0	0	0
r00237	00000000	0	0	0
r00238	00000000	0	0	0
r00239	00000000	0	0	0
r00240	3F800000	1	1	1
r00241	3F800000	0	1	0
r00242	3F800000	0	1	0
r00243	00000000	0	1	0
r00244	00000000	0	1	0
r00245	00000000	0	1	0
r00246	00000000	0	1	0
r00247	3F800000	0	1	0
r00248	3F800000	0	1	0
r00249	00000000	0	1	0
r00250	3F800000	0	1	0
r00251	3F800000	0	1	0
r00252	3F800000	0	1	0
r00253	00000000	0	1	0
r00254	00000000	0	1	0
r00255	00000000	0	1	0
r00256	00000000	0	1	0
