type	pending	valid	value	target	step	spawnHp	spawnDisplayHp	spawnDisplayMax	score1	damage1	hp1	max1	score2	damage2	hp2	max2	actualHp	actualMax
0	0	0	-5	10	-3	137	137	137	-8	-8	10	10	-11	-11	10	10	10	10
0	0	0	-5	10	0	137	137	137	-5	-5	10	10	-5	-5	10	10	10	10
0	0	0	-5	10	1	137	137	137	-4	-4	10	10	-3	-3	10	10	10	10
0	0	0	-5	10	4	137	137	137	-1	-1	10	10	3	3	10	10	10	10
0	0	0	-5	10	20	137	137	137	15	15	10	10	10	10	10	10	10	10
0	0	0	0	10	-3	137	137	137	-3	-3	10	10	-6	-6	10	10	10	10
0	0	0	0	10	0	137	137	137	0	0	10	10	0	0	10	10	10	10
0	0	0	0	10	1	137	137	137	1	1	10	10	2	2	10	10	10	10
0	0	0	0	10	4	137	137	137	4	4	10	10	8	8	10	10	10	10
0	0	0	0	10	20	137	137	137	20	20	10	10	10	10	10	10	10	10
0	0	0	5	10	-3	137	137	137	2	2	10	10	-1	-1	10	10	10	10
0	0	0	5	10	0	137	137	137	5	5	10	10	5	5	10	10	10	10
0	0	0	5	10	1	137	137	137	6	6	10	10	7	7	10	10	10	10
0	0	0	5	10	4	137	137	137	9	9	10	10	13	13	10	10	10	10
0	0	0	5	10	20	137	137	137	25	25	10	10	10	10	10	10	10	10
0	0	0	9	10	-3	137	137	137	6	6	10	10	3	3	10	10	10	10
0	0	0	9	10	0	137	137	137	9	9	10	10	9	9	10	10	10	10
0	0	0	9	10	1	137	137	137	10	10	10	10	10	10	10	10	10	10
0	0	0	9	10	4	137	137	137	13	13	10	10	10	10	10	10	10	10
0	0	0	9	10	20	137	137	137	29	29	10	10	10	10	10	10	10	10
0	0	0	10	10	-3	137	137	137	10	10	10	10	10	10	10	10	10	10
0	0	0	10	10	0	137	137	137	10	10	10	10	10	10	10	10	10	10
0	0	0	10	10	1	137	137	137	10	10	10	10	10	10	10	10	10	10
0	0	0	10	10	4	137	137	137	10	10	10	10	10	10	10	10	10	10
0	0	0	10	10	20	137	137	137	10	10	10	10	10	10	10	10	10	10
0	0	0	11	10	-3	137	137	137	10	10	14	14	10	10	17	17	10	10
0	0	0	11	10	0	137	137	137	10	10	11	11	10	10	11	11	10	10
0	0	0	11	10	1	137	137	137	10	10	10	10	10	10	10	10	10	10
0	0	0	11	10	4	137	137	137	10	10	7	7	10	10	10	10	10	10
0	0	0	11	10	20	137	137	137	10	10	-9	-9	10	10	10	10	10	10
0	0	0	15	10	-3	137	137	137	10	10	18	18	10	10	21	21	10	10
0	0	0	15	10	0	137	137	137	10	10	15	15	10	10	15	15	10	10
0	0	0	15	10	1	137	137	137	10	10	14	14	10	10	13	13	10	10
0	0	0	15	10	4	137	137	137	10	10	11	11	10	10	7	7	10	10
0	0	0	15	10	20	137	137	137	10	10	-5	-5	10	10	10	10	10	10
0	0	1	-5	10	-3	137	137	137	-8	-8	10	10	-11	-11	10	10	10	10
0	0	1	-5	10	0	137	137	137	-5	-5	10	10	-5	-5	10	10	10	10
0	0	1	-5	10	1	137	137	137	-4	-4	10	10	-3	-3	10	10	10	10
0	0	1	-5	10	4	137	137	137	-1	-1	10	10	3	3	10	10	10	10
0	0	1	-5	10	20	137	137	137	15	15	10	10	10	10	10	10	10	10
0	0	1	0	10	-3	137	137	137	-3	-3	10	10	-6	-6	10	10	10	10
0	0	1	0	10	0	137	137	137	0	0	10	10	0	0	10	10	10	10
0	0	1	0	10	1	137	137	137	1	1	10	10	2	2	10	10	10	10
0	0	1	0	10	4	137	137	137	4	4	10	10	8	8	10	10	10	10
0	0	1	0	10	20	137	137	137	20	20	10	10	10	10	10	10	10	10
0	0	1	5	10	-3	137	137	137	2	2	10	10	-1	-1	10	10	10	10
0	0	1	5	10	0	137	137	137	5	5	10	10	5	5	10	10	10	10
0	0	1	5	10	1	137	137	137	6	6	10	10	7	7	10	10	10	10
0	0	1	5	10	4	137	137	137	9	9	10	10	13	13	10	10	10	10
0	0	1	5	10	20	137	137	137	25	25	10	10	10	10	10	10	10	10
0	0	1	9	10	-3	137	137	137	6	6	10	10	3	3	10	10	10	10
0	0	1	9	10	0	137	137	137	9	9	10	10	9	9	10	10	10	10
0	0	1	9	10	1	137	137	137	10	10	10	10	10	10	10	10	10	10
0	0	1	9	10	4	137	137	137	13	13	10	10	10	10	10	10	10	10
0	0	1	9	10	20	137	137	137	29	29	10	10	10	10	10	10	10	10
0	0	1	10	10	-3	137	137	137	10	10	10	10	10	10	10	10	10	10
0	0	1	10	10	0	137	137	137	10	10	10	10	10	10	10	10	10	10
0	0	1	10	10	1	137	137	137	10	10	10	10	10	10	10	10	10	10
0	0	1	10	10	4	137	137	137	10	10	10	10	10	10	10	10	10	10
0	0	1	10	10	20	137	137	137	10	10	10	10	10	10	10	10	10	10
0	0	1	11	10	-3	137	137	137	10	10	14	14	10	10	17	17	10	10
0	0	1	11	10	0	137	137	137	10	10	11	11	10	10	11	11	10	10
0	0	1	11	10	1	137	137	137	10	10	10	10	10	10	10	10	10	10
0	0	1	11	10	4	137	137	137	10	10	7	7	10	10	10	10	10	10
0	0	1	11	10	20	137	137	137	10	10	-9	-9	10	10	10	10	10	10
0	0	1	15	10	-3	137	137	137	10	10	18	18	10	10	21	21	10	10
0	0	1	15	10	0	137	137	137	10	10	15	15	10	10	15	15	10	10
0	0	1	15	10	1	137	137	137	10	10	14	14	10	10	13	13	10	10
0	0	1	15	10	4	137	137	137	10	10	11	11	10	10	7	7	10	10
0	0	1	15	10	20	137	137	137	10	10	-5	-5	10	10	10	10	10	10
0	1	0	-5	10	-3	137	137	137	-8	-8	10	10	-11	-11	10	10	10	10
0	1	0	-5	10	0	137	137	137	-5	-5	10	10	-5	-5	10	10	10	10
0	1	0	-5	10	1	137	137	137	-4	-4	10	10	-3	-3	10	10	10	10
0	1	0	-5	10	4	137	137	137	-1	-1	10	10	3	3	10	10	10	10
0	1	0	-5	10	20	137	137	137	15	15	10	10	10	10	10	10	10	10
0	1	0	0	10	-3	137	137	137	-3	-3	10	10	-6	-6	10	10	10	10
0	1	0	0	10	0	137	137	137	0	0	10	10	0	0	10	10	10	10
0	1	0	0	10	1	137	137	137	1	1	10	10	2	2	10	10	10	10
0	1	0	0	10	4	137	137	137	4	4	10	10	8	8	10	10	10	10
0	1	0	0	10	20	137	137	137	20	20	10	10	10	10	10	10	10	10
0	1	0	5	10	-3	137	137	137	2	2	10	10	-1	-1	10	10	10	10
0	1	0	5	10	0	137	137	137	5	5	10	10	5	5	10	10	10	10
0	1	0	5	10	1	137	137	137	6	6	10	10	7	7	10	10	10	10
0	1	0	5	10	4	137	137	137	9	9	10	10	13	13	10	10	10	10
0	1	0	5	10	20	137	137	137	25	25	10	10	10	10	10	10	10	10
0	1	0	9	10	-3	137	137	137	6	6	10	10	3	3	10	10	10	10
0	1	0	9	10	0	137	137	137	9	9	10	10	9	9	10	10	10	10
0	1	0	9	10	1	137	137	137	10	10	10	10	10	10	10	10	10	10
0	1	0	9	10	4	137	137	137	13	13	10	10	10	10	10	10	10	10
0	1	0	9	10	20	137	137	137	29	29	10	10	10	10	10	10	10	10
0	1	0	10	10	-3	137	137	137	10	10	10	10	10	10	10	10	10	10
0	1	0	10	10	0	137	137	137	10	10	10	10	10	10	10	10	10	10
0	1	0	10	10	1	137	137	137	10	10	10	10	10	10	10	10	10	10
0	1	0	10	10	4	137	137	137	10	10	10	10	10	10	10	10	10	10
0	1	0	10	10	20	137	137	137	10	10	10	10	10	10	10	10	10	10
0	1	0	11	10	-3	137	137	137	10	10	14	14	10	10	17	17	10	10
0	1	0	11	10	0	137	137	137	10	10	11	11	10	10	11	11	10	10
0	1	0	11	10	1	137	137	137	10	10	10	10	10	10	10	10	10	10
0	1	0	11	10	4	137	137	137	10	10	7	7	10	10	10	10	10	10
0	1	0	11	10	20	137	137	137	10	10	-9	-9	10	10	10	10	10	10
0	1	0	15	10	-3	137	137	137	10	10	18	18	10	10	21	21	10	10
0	1	0	15	10	0	137	137	137	10	10	15	15	10	10	15	15	10	10
0	1	0	15	10	1	137	137	137	10	10	14	14	10	10	13	13	10	10
0	1	0	15	10	4	137	137	137	10	10	11	11	10	10	7	7	10	10
0	1	0	15	10	20	137	137	137	10	10	-5	-5	10	10	10	10	10	10
0	1	1	-5	10	-3	137	137	137	-8	-8	10	10	-11	-11	10	10	10	10
0	1	1	-5	10	0	137	137	137	-5	-5	10	10	-5	-5	10	10	10	10
0	1	1	-5	10	1	137	137	137	-4	-4	10	10	-3	-3	10	10	10	10
0	1	1	-5	10	4	137	137	137	-1	-1	10	10	3	3	10	10	10	10
0	1	1	-5	10	20	137	137	137	15	15	10	10	10	10	10	10	10	10
0	1	1	0	10	-3	137	137	137	-3	-3	10	10	-6	-6	10	10	10	10
0	1	1	0	10	0	137	137	137	0	0	10	10	0	0	10	10	10	10
0	1	1	0	10	1	137	137	137	1	1	10	10	2	2	10	10	10	10
0	1	1	0	10	4	137	137	137	4	4	10	10	8	8	10	10	10	10
0	1	1	0	10	20	137	137	137	20	20	10	10	10	10	10	10	10	10
0	1	1	5	10	-3	137	137	137	2	2	10	10	-1	-1	10	10	10	10
0	1	1	5	10	0	137	137	137	5	5	10	10	5	5	10	10	10	10
0	1	1	5	10	1	137	137	137	6	6	10	10	7	7	10	10	10	10
0	1	1	5	10	4	137	137	137	9	9	10	10	13	13	10	10	10	10
0	1	1	5	10	20	137	137	137	25	25	10	10	10	10	10	10	10	10
0	1	1	9	10	-3	137	137	137	6	6	10	10	3	3	10	10	10	10
0	1	1	9	10	0	137	137	137	9	9	10	10	9	9	10	10	10	10
0	1	1	9	10	1	137	137	137	10	10	10	10	10	10	10	10	10	10
0	1	1	9	10	4	137	137	137	13	13	10	10	10	10	10	10	10	10
0	1	1	9	10	20	137	137	137	29	29	10	10	10	10	10	10	10	10
0	1	1	10	10	-3	137	137	137	10	10	10	10	10	10	10	10	10	10
0	1	1	10	10	0	137	137	137	10	10	10	10	10	10	10	10	10	10
0	1	1	10	10	1	137	137	137	10	10	10	10	10	10	10	10	10	10
0	1	1	10	10	4	137	137	137	10	10	10	10	10	10	10	10	10	10
0	1	1	10	10	20	137	137	137	10	10	10	10	10	10	10	10	10	10
0	1	1	11	10	-3	137	137	137	10	10	14	14	10	10	17	17	10	10
0	1	1	11	10	0	137	137	137	10	10	11	11	10	10	11	11	10	10
0	1	1	11	10	1	137	137	137	10	10	10	10	10	10	10	10	10	10
0	1	1	11	10	4	137	137	137	10	10	7	7	10	10	10	10	10	10
