action	state	previous	depleted	hp	bound	base	mp	maxMp	gate	timer	mode	type	pending	valid	stage	actionOut	hpOut	boundOut	mpOut	consumedOut	koOut	livesOut	groupOut	xOut	yOut	zOut	preciseX	preciseY	preciseZ	displayHp	displayMax	depletedUpdates	restoreUpdates	hpClamps	mpClamps
0	0	0	0	100	200	500	300	500	-1	-1	-1	0	0	1	1	0	100	200	300	37	9	7	8	11	-7	13	11.25	-7.5	13.75	100	200	0	0	0	0
0	0	0	0	100	200	500	300	500	0	-1	-1	0	0	1	1	0	100	200	300	37	9	7	8	11	-7	13	11.25	-7.5	13.75	100	200	0	0	0	0
0	0	0	0	100	200	500	300	500	-1	-1	0	0	0	1	1	0	100	200	300	37	9	7	8	11	-7	13	11.25	-7.5	13.75	100	200	0	0	0	0
0	0	0	0	100	200	500	300	500	0	-1	0	0	0	1	1	0	100	200	300	37	9	7	8	11	-7	13	11.25	-7.5	13.75	100	200	0	0	0	0
0	0	0	0	100	200	500	300	500	-1	-1	1	0	0	1	1	0	100	200	300	37	9	7	8	11	-7	13	11.25	-7.5	13.75	100	200	0	0	0	0
0	0	0	0	100	200	500	300	500	0	-1	1	0	0	1	1	0	100	200	300	37	9	7	8	11	-7	13	11.25	-7.5	13.75	100	200	0	0	0	0
0	0	0	0	100	200	500	300	500	-1	-1	2	0	0	1	1	0	500	500	300	0	0	7	8	11	-7	13	11.25	-7.5	13.75	100	200	0	1	0	0
0	0	0	0	100	200	500	300	500	0	-1	2	0	0	1	1	0	100	200	300	37	9	7	8	11	-7	13	11.25	-7.5	13.75	100	200	0	0	0	0
0	0	0	0	100	200	500	300	500	-1	-1	3	0	0	1	1	0	500	500	300	0	0	7	8	11	-7	13	11.25	-7.5	13.75	100	200	0	1	0	0
0	0	0	0	100	200	500	300	500	0	-1	3	0	0	1	1	0	100	200	300	37	9	7	8	11	-7	13	11.25	-7.5	13.75	100	200	0	0	0	0
0	0	0	0	100	200	500	300	500	-1	-1	4	0	0	1	1	0	100	200	300	37	9	7	8	11	-7	13	11.25	-7.5	13.75	100	200	0	0	0	0
0	0	0	0	100	200	500	300	500	0	-1	4	0	0	1	1	0	100	200	300	37	9	7	8	11	-7	13	11.25	-7.5	13.75	100	200	0	0	0	0
0	0	0	0	100	200	500	300	500	-1	0	-1	0	0	1	1	0	100	200	300	37	9	7	8	11	-7	13	11.25	-7.5	13.75	100	200	0	0	0	0
