declaredId	lookup	documentOk	declaredFound	runtimeFound	frameId	wait	next	state	pic	chp	cmp	subblocks	hpOut	boundOut	mpOut
-999	-1	1	0	0	-999	-999	-999	-999	-999	-999	-999	-999	100	200	100
-999	0	1	0	1	0	0	0	0	0	0	0	0	101	200	104
-999	7	1	0	1	7	0	0	0	0	0	0	0	101	200	104
-999	856	1	0	1	856	0	0	0	0	0	0	0	101	200	104
-999	857	1	0	1	857	0	0	0	0	0	0	0	101	200	104
-999	998	1	0	1	998	0	0	0	0	0	0	0	101	200	104
-999	999	1	0	0	-999	-999	-999	-999	-999	-999	-999	-999	100	200	100
-999	1000	1	0	0	-999	-999	-999	-999	-999	-999	-999	-999	100	200	100
-999	9999	1	0	0	-999	-999	-999	-999	-999	-999	-999	-999	100	200	100
-1	-1	0	1	1	-1	2	0	14	29	7	5	0	-999	-999	-999
-1	0	0	0	1	0	0	0	0	0	0	0	0	-999	-999	-999
-1	7	0	0	1	7	0	0	0	0	0	0	0	-999	-999	-999
-1	856	0	0	1	856	0	0	0	0	0	0	0	-999	-999	-999
-1	857	0	0	1	857	0	0	0	0	0	0	0	-999	-999	-999
-1	998	0	0	1	998	0	0	0	0	0	0	0	-999	-999	-999
-1	999	0	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
-1	1000	0	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
-1	9999	0	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
0	-1	1	0	0	-999	-999	-999	-999	-999	-999	-999	-999	100	200	100
0	0	1	1	1	0	2	0	14	29	7	5	0	107	202	109
0	7	1	0	1	7	0	0	0	0	0	0	0	101	200	104
0	856	1	0	1	856	0	0	0	0	0	0	0	101	200	104
0	857	1	0	1	857	0	0	0	0	0	0	0	101	200	104
0	998	1	0	1	998	0	0	0	0	0	0	0	101	200	104
0	999	1	0	0	-999	-999	-999	-999	-999	-999	-999	-999	100	200	100
0	1000	1	0	0	-999	-999	-999	-999	-999	-999	-999	-999	100	200	100
0	9999	1	0	0	-999	-999	-999	-999	-999	-999	-999	-999	100	200	100
7	-1	1	0	0	-999	-999	-999	-999	-999	-999	-999	-999	100	200	100
7	0	1	0	1	0	0	0	0	0	0	0	0	101	200	104
7	7	1	1	1	7	2	0	14	29	7	5	0	107	202	109
7	856	1	0	1	856	0	0	0	0	0	0	0	101	200	104
