group	type	slot	action	declared	wait	next	latch	counter	state	y	yref	hp	mp	destHp	destMp	fallback	recmp	mode	doubleCost	waived	local	link	hold	lives	queuedHp	cpoint	drain	hitD	facing	stepStatus	rawNext	entered	flipped	actionOut	latchOut	counterOut	facingOut	hpOut	mpOut	boundOut	hpConsumed	mpConsumed	vxOut	vyOut	vzOut	pendingOut	codeOut	soundLatchOut	audioCount	lifePending	despawned	encodedResets	lifeRejected	survives	finalAction	finalLatch	finalCollisionAction	finalPrevious078	finalStateCode
lookup	0	0	-1	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	0	0	0	-1	0	0	0	100	100	200	0	0	1.25	2.25	3.25	1	-1	-1	0	1	1	0	0	0	-9999	-9999	-9999	-9999	-9999
lookup	0	0	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	0	0	0	0	0	0	1	0	0	44	45	0
lookup	0	0	0	1	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	0	1	0	0	0	0	1	0	0	44	45	0
lookup	0	0	8	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	8	8	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	8	0	0	0	0	0	1	8	8	44	45	0
lookup	0	0	8	1	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	8	8	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	8	1	0	0	0	0	1	8	8	44	45	0
lookup	0	0	856	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	856	856	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	856	0	0	0	0	0	1	856	856	44	45	0
lookup	0	0	856	1	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	856	856	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	856	1	0	0	0	0	1	856	856	44	45	0
lookup	0	0	857	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	857	857	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	857	0	0	0	0	0	1	857	857	44	45	0
lookup	0	0	857	1	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	857	857	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	857	1	0	0	0	0	1	857	857	44	45	0
lookup	0	0	998	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	998	998	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	998	0	0	0	0	0	1	998	998	44	45	0
lookup	0	0	998	1	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	998	998	0	0	100	100	200	0	0	1.25	2.25	3.25	0	0	998	1	0	0	0	0	1	998	998	44	45	0
lookup	0	0	999	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	0	0	0	999	0	0	0	100	100	200	0	0	1.25	2.25	3.25	1	999	-1	0	1	1	0	0	0	-9999	-9999	-9999	-9999	-9999
lookup	0	0	999	1	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	0	1	0	999	999	0	0	100	100	200	0	0	1.25	2.25	3.25	1	999	-1	0	1	1	0	0	0	-9999	-9999	-9999	-9999	-9999
lookup	0	0	1000	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	0	0	0	1000	0	0	0	100	100	200	0	0	1.25	2.25	3.25	1	1000	-1	0	1	1	0	0	0	-9999	-9999	-9999	-9999	-9999
lookup	0	0	9999	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	0	0	0	9999	0	0	0	100	100	200	0	0	1.25	2.25	3.25	1	9999	-1	0	1	1	0	0	0	-9999	-9999	-9999	-9999	-9999
next	0	0	0	1	0	-1299	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	-1299	0	1	1299	0	0	1	100	100	200	0	0	1.25	2.25	3.25	1	1299	0	1	1	0	1	0	1	0	0	0	45	-199
next	0	0	0	1	0	-1299	0	0	0	-10	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	-1299	0	1	1299	0	0	1	100	100	200	0	0	1.25	2.25	3.25	1	1299	0	1	1	0	1	0	1	0	0	0	45	-199
next	0	0	0	1	0	-1299	0	0	0	-10	-10	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	-1299	0	1	1299	0	0	1	100	100	200	0	0	1.25	2.25	3.25	1	1299	0	1	1	0	1	0	1	0	0	0	45	-199
next	3	0	0	1	0	-1299	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	-1299	0	1	1299	0	0	1	100	100	200	0	0	1.25	2.25	3.25	1	1299	0	1	1	0	1	0	1	0	0	0	45	-199
next	3	0	0	1	0	-1299	0	0	0	-10	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	-1299	0	1	1299	0	0	1	100	100	200	0	0	1.25	2.25	3.25	1	1299	0	1	1	0	1	0	1	0	0	0	45	-199
next	3	0	0	1	0	-1299	0	0	0	-10	-10	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	-1299	0	1	1299	0	0	1	100	100	200	0	0	1.25	2.25	3.25	1	1299	0	1	1	0	1	0	1	0	0	0	45	-199
next	4	0	0	1	0	-1299	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	-1299	0	1	1299	0	0	1	100	100	200	0	0	1.25	2.25	3.25	1	1299	0	1	1	0	1	0	1	0	0	0	45	-199
next	4	0	0	1	0	-1299	0	0	0	-10	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	-1299	0	1	1299	0	0	1	100	100	200	0	0	1.25	2.25	3.25	1	1299	0	1	1	0	1	0	1	0	0	0	45	-199
next	4	0	0	1	0	-1299	0	0	0	-10	-10	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	-1299	0	1	1299	0	0	1	100	100	200	0	0	1.25	2.25	3.25	1	1299	0	1	1	0	1	0	1	0	0	0	45	-199
next	0	0	0	1	0	-1101	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	-1101	0	1	1101	0	0	1	100	100	200	0	0	1.25	2.25	3.25	1	1101	0	1	1	0	1	0	1	0	0	0	45	-1
next	0	0	0	1	0	-1101	0	0	0	-10	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	-1101	0	1	1101	0	0	1	100	100	200	0	0	1.25	2.25	3.25	1	1101	0	1	1	0	1	0	1	0	0	0	45	-1
next	0	0	0	1	0	-1101	0	0	0	-10	-10	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	-1101	0	1	1101	0	0	1	100	100	200	0	0	1.25	2.25	3.25	1	1101	0	1	1	0	1	0	1	0	0	0	45	-1
next	3	0	0	1	0	-1101	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	-1101	0	1	1101	0	0	1	100	100	200	0	0	1.25	2.25	3.25	1	1101	0	1	1	0	1	0	1	0	0	0	45	-1
next	3	0	0	1	0	-1101	0	0	0	-10	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	-1101	0	1	1101	0	0	1	100	100	200	0	0	1.25	2.25	3.25	1	1101	0	1	1	0	1	0	1	0	0	0	45	-1
next	3	0	0	1	0	-1101	0	0	0	-10	-10	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	-1101	0	1	1101	0	0	1	100	100	200	0	0	1.25	2.25	3.25	1	1101	0	1	1	0	1	0	1	0	0	0	45	-1
next	4	0	0	1	0	-1101	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	-1101	0	1	1101	0	0	1	100	100	200	0	0	1.25	2.25	3.25	1	1101	0	1	1	0	1	0	1	0	0	0	45	-1
next	4	0	0	1	0	-1101	0	0	0	-10	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	-1101	0	1	1101	0	0	1	100	100	200	0	0	1.25	2.25	3.25	1	1101	0	1	1	0	1	0	1	0	0	0	45	-1
next	4	0	0	1	0	-1101	0	0	0	-10	-10	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	-1101	0	1	1101	0	0	1	100	100	200	0	0	1.25	2.25	3.25	1	1101	0	1	1	0	1	0	1	0	0	0	45	-1
next	0	0	0	1	0	-1000	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	-1000	0	1	1000	0	0	1	100	100	200	0	0	1.25	2.25	3.25	1	1000	0	1	1	1	0	0	0	-9999	-9999	-9999	-9999	-9999
next	0	0	0	1	0	-1000	0	0	0	-10	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	-1000	0	1	1000	0	0	1	100	100	200	0	0	1.25	2.25	3.25	1	1000	0	1	1	1	0	0	0	-9999	-9999	-9999	-9999	-9999
next	0	0	0	1	0	-1000	0	0	0	-10	-10	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	-1000	0	1	1000	0	0	1	100	100	200	0	0	1.25	2.25	3.25	1	1000	0	1	1	1	0	0	0	-9999	-9999	-9999	-9999	-9999
next	3	0	0	1	0	-1000	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	-1000	0	1	1000	0	0	1	100	100	200	0	0	1.25	2.25	3.25	1	1000	0	1	1	1	0	0	0	-9999	-9999	-9999	-9999	-9999
next	3	0	0	1	0	-1000	0	0	0	-10	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	-1000	0	1	1000	0	0	1	100	100	200	0	0	1.25	2.25	3.25	1	1000	0	1	1	1	0	0	0	-9999	-9999	-9999	-9999	-9999
next	3	0	0	1	0	-1000	0	0	0	-10	-10	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	-1000	0	1	1000	0	0	1	100	100	200	0	0	1.25	2.25	3.25	1	1000	0	1	1	1	0	0	0	-9999	-9999	-9999	-9999	-9999
next	4	0	0	1	0	-1000	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	-1000	0	1	1000	0	0	1	100	100	200	0	0	1.25	2.25	3.25	1	1000	0	1	1	1	0	0	0	-9999	-9999	-9999	-9999	-9999
next	4	0	0	1	0	-1000	0	0	0	-10	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	-1000	0	1	1000	0	0	1	100	100	200	0	0	1.25	2.25	3.25	1	1000	0	1	1	1	0	0	0	-9999	-9999	-9999	-9999	-9999
next	4	0	0	1	0	-1000	0	0	0	-10	-10	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	-1000	0	1	1000	0	0	1	100	100	200	0	0	1.25	2.25	3.25	1	1000	0	1	1	1	0	0	0	-9999	-9999	-9999	-9999	-9999
next	0	0	0	1	0	-999	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	-999	0	1	0	0	0	1	100	100	200	0	0	1.25	2.25	3.25	0	0	0	1	0	0	0	0	1	0	0	44	45	0
next	0	0	0	1	0	-999	0	0	0	-10	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	-999	0	1	0	0	0	1	100	100	200	0	0	1.25	2.25	3.25	0	0	0	1	0	0	0	0	1	0	0	44	45	0
next	0	0	0	1	0	-999	0	0	0	-10	-10	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	-999	0	1	0	0	0	1	100	100	200	0	0	1.25	2.25	3.25	0	0	0	1	0	0	0	0	1	0	0	44	45	0
next	3	0	0	1	0	-999	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	-999	0	1	0	0	0	1	100	100	200	0	0	1.25	2.25	3.25	0	0	0	1	0	0	0	0	1	0	0	44	45	0
next	3	0	0	1	0	-999	0	0	0	-10	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	-999	0	1	0	0	0	1	100	100	200	0	0	1.25	2.25	3.25	0	0	0	1	0	0	0	0	1	0	0	44	45	0
next	3	0	0	1	0	-999	0	0	0	-10	-10	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	-999	0	1	0	0	0	1	100	100	200	0	0	1.25	2.25	3.25	0	0	0	1	0	0	0	0	1	0	0	44	45	0
next	4	0	0	1	0	-999	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	-999	0	1	0	0	0	1	100	100	200	0	0	1.25	2.25	3.25	0	0	0	1	0	0	0	0	1	0	0	44	45	0
next	4	0	0	1	0	-999	0	0	0	-10	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	-999	0	1	0	0	0	1	100	100	200	0	0	1.25	2.25	3.25	0	0	0	1	0	0	0	0	1	0	0	44	45	0
next	4	0	0	1	0	-999	0	0	0	-10	-10	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	-999	0	1	0	0	0	1	100	100	200	0	0	1.25	2.25	3.25	0	0	0	1	0	0	0	0	1	0	0	44	45	0
next	0	0	0	1	0	-212	0	0	0	0	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	-212	0	1	212	212	0	1	100	100	200	0	0	4.25	-9.5	-2.5	0	0	212	1	0	0	0	0	1	212	212	44	45	0
next	0	0	0	1	0	-212	0	0	0	-10	0	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	-212	0	1	212	212	0	1	100	100	200	0	0	4.25	-9.5	-2.5	0	0	212	1	0	0	0	0	1	212	212	44	45	0
next	0	0	0	1	0	-212	0	0	0	-10	-10	100	100	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	-212	0	1	212	212	0	1	100	100	200	0	0	4.25	-9.5	-2.5	0	0	212	1	0	0	0	0	1	212	212	44	45	0
