oid	type	hp	mp	regen	hasStats	bound	cmp	doubleCost	weak	bonus	render	credit	mode	f6	phase	validFrame	pending	expectedMp
77	0	400	100	-7	1	0	0	0	0	0	0	-1	-1	1	0	1	0	102
51	0	400	100	-7	1	0	0	0	0	0	0	-1	-1	1	0	1	0	104
52	0	400	100	-7	1	0	0	0	0	0	0	-1	-1	1	0	1	0	104
77	0	400	100	-7	1	0	0	0	0	0	0	-1	0	1	0	1	0	102
51	0	400	100	-7	1	0	0	0	0	0	0	-1	0	1	0	1	0	104
52	0	400	100	-7	1	0	0	0	0	0	0	-1	0	1	0	1	0	104
77	0	400	100	-7	1	0	0	0	0	0	0	-1	1	1	0	1	0	102
51	0	400	100	-7	1	0	0	0	0	0	0	-1	1	1	0	1	0	104
52	0	400	100	-7	1	0	0	0	0	0	0	-1	1	1	0	1	0	104
77	0	400	100	-7	1	0	0	0	0	0	0	-1	2	1	0	1	0	102
51	0	400	100	-7	1	0	0	0	0	0	0	-1	2	1	0	1	0	104
52	0	400	100	-7	1	0	0	0	0	0	0	-1	2	1	0	1	0	104
77	0	400	100	-6	1	0	0	0	0	0	0	-1	-1	1	0	1	0	95
51	0	400	100	-6	1	0	0	0	0	0	0	-1	-1	1	0	1	0	95
52	0	400	100	-6	1	0	0	0	0	0	0	-1	-1	1	0	1	0	95
77	0	400	100	-6	1	0	0	0	0	0	0	-1	0	1	0	1	0	95
51	0	400	100	-6	1	0	0	0	0	0	0	-1	0	1	0	1	0	95
52	0	400	100	-6	1	0	0	0	0	0	0	-1	0	1	0	1	0	95
77	0	400	100	-6	1	0	0	0	0	0	0	-1	1	1	0	1	0	95
51	0	400	100	-6	1	0	0	0	0	0	0	-1	1	1	0	1	0	95
52	0	400	100	-6	1	0	0	0	0	0	0	-1	1	1	0	1	0	95
77	0	400	100	-6	1	0	0	0	0	0	0	-1	2	1	0	1	0	95
51	0	400	100	-6	1	0	0	0	0	0	0	-1	2	1	0	1	0	95
52	0	400	100	-6	1	0	0	0	0	0	0	-1	2	1	0	1	0	95
77	0	400	100	-5	1	0	0	0	0	0	0	-1	-1	1	0	1	0	95
51	0	400	100	-5	1	0	0	0	0	0	0	-1	-1	1	0	1	0	95
52	0	400	100	-5	1	0	0	0	0	0	0	-1	-1	1	0	1	0	95
77	0	400	100	-5	1	0	0	0	0	0	0	-1	0	1	0	1	0	95
51	0	400	100	-5	1	0	0	0	0	0	0	-1	0	1	0	1	0	95
52	0	400	100	-5	1	0	0	0	0	0	0	-1	0	1	0	1	0	95
77	0	400	100	-5	1	0	0	0	0	0	0	-1	1	1	0	1	0	95
51	0	400	100	-5	1	0	0	0	0	0	0	-1	1	1	0	1	0	95
52	0	400	100	-5	1	0	0	0	0	0	0	-1	1	1	0	1	0	95
77	0	400	100	-5	1	0	0	0	0	0	0	-1	2	1	0	1	0	95
51	0	400	100	-5	1	0	0	0	0	0	0	-1	2	1	0	1	0	95
52	0	400	100	-5	1	0	0	0	0	0	0	-1	2	1	0	1	0	95
77	0	400	100	-4	1	0	0	0	0	0	0	-1	-1	1	0	1	0	96
