oid	type	action	pointHp	pointMp	ohp	omp	maxPresent	maxMp	hpOut	boundOut	baseOut	mpOut	baseMpOut	displayHp	displayMax	score	damage	scoreStep	damageStep	hpStep	maxStep
5	0	0	-7	-7	-1	-1	0	0	10	10	10	5	5	10	10	0	0	0	0	0	0
5	0	0	-7	-7	-1	0	0	0	10	10	10	5	5	10	10	0	0	0	0	0	0
5	0	0	-7	-7	-1	1	0	0	10	10	10	0	0	10	10	0	0	0	0	0	0
5	0	0	-7	-7	-1	50	0	0	10	10	10	2	2	10	10	0	0	0	0	0	0
5	0	0	-7	-7	-1	100	0	0	10	10	10	5	5	10	10	0	0	0	0	0	0
5	0	0	-7	-7	-1	150	0	0	10	10	10	7	7	10	10	0	0	0	0	0	0
5	0	0	-7	-7	0	-1	0	0	10	10	10	5	5	10	10	0	0	0	0	0	0
5	0	0	-7	-7	0	0	0	0	10	10	10	5	5	10	10	0	0	0	0	0	0
5	0	0	-7	-7	0	1	0	0	10	10	10	0	0	10	10	0	0	0	0	0	0
5	0	0	-7	-7	0	50	0	0	10	10	10	2	2	10	10	0	0	0	0	0	0
5	0	0	-7	-7	0	100	0	0	10	10	10	5	5	10	10	0	0	0	0	0	0
5	0	0	-7	-7	0	150	0	0	10	10	10	7	7	10	10	0	0	0	0	0	0
5	0	0	-7	-7	1	-1	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0
5	0	0	-7	-7	1	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0
5	0	0	-7	-7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	-7	-7	1	50	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0
5	0	0	-7	-7	1	100	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0
5	0	0	-7	-7	1	150	0	0	0	0	0	7	7	0	0	0	0	0	0	0	0
5	0	0	-7	-7	50	-1	0	0	5	5	5	5	5	5	5	0	0	0	0	0	0
5	0	0	-7	-7	50	0	0	0	5	5	5	5	5	5	5	0	0	0	0	0	0
5	0	0	-7	-7	50	1	0	0	5	5	5	0	0	5	5	0	0	0	0	0	0
5	0	0	-7	-7	50	50	0	0	5	5	5	2	2	5	5	0	0	0	0	0	0
5	0	0	-7	-7	50	100	0	0	5	5	5	5	5	5	5	0	0	0	0	0	0
5	0	0	-7	-7	50	150	0	0	5	5	5	7	7	5	5	0	0	0	0	0	0
5	0	0	-7	-7	100	-1	0	0	10	10	10	5	5	10	10	0	0	0	0	0	0
5	0	0	-7	-7	100	0	0	0	10	10	10	5	5	10	10	0	0	0	0	0	0
5	0	0	-7	-7	100	1	0	0	10	10	10	0	0	10	10	0	0	0	0	0	0
5	0	0	-7	-7	100	50	0	0	10	10	10	2	2	10	10	0	0	0	0	0	0
5	0	0	-7	-7	100	100	0	0	10	10	10	5	5	10	10	0	0	0	0	0	0
5	0	0	-7	-7	100	150	0	0	10	10	10	7	7	10	10	0	0	0	0	0	0
5	0	0	-7	-7	150	-1	0	0	15	15	15	5	5	15	15	0	0	0	0	0	0
5	0	0	-7	-7	150	0	0	0	15	15	15	5	5	15	15	0	0	0	0	0	0
5	0	0	-7	-7	150	1	0	0	15	15	15	0	0	15	15	0	0	0	0	0	0
5	0	0	-7	-7	150	50	0	0	15	15	15	2	2	15	15	0	0	0	0	0	0
5	0	0	-7	-7	150	100	0	0	15	15	15	5	5	15	15	0	0	0	0	0	0
5	0	0	-7	-7	150	150	0	0	15	15	15	7	7	15	15	0	0	0	0	0	0
5	0	0	-7	0	-1	-1	0	0	10	10	10	5	5	10	10	0	0	0	0	0	0
5	0	0	-7	0	-1	0	0	0	10	10	10	5	5	10	10	0	0	0	0	0	0
5	0	0	-7	0	-1	1	0	0	10	10	10	0	0	10	10	0	0	0	0	0	0
5	0	0	-7	0	-1	50	0	0	10	10	10	2	2	10	10	0	0	0	0	0	0
5	0	0	-7	0	-1	100	0	0	10	10	10	5	5	10	10	0	0	0	0	0	0
5	0	0	-7	0	-1	150	0	0	10	10	10	7	7	10	10	0	0	0	0	0	0
5	0	0	-7	0	0	-1	0	0	10	10	10	5	5	10	10	0	0	0	0	0	0
5	0	0	-7	0	0	0	0	0	10	10	10	5	5	10	10	0	0	0	0	0	0
5	0	0	-7	0	0	1	0	0	10	10	10	0	0	10	10	0	0	0	0	0	0
5	0	0	-7	0	0	50	0	0	10	10	10	2	2	10	10	0	0	0	0	0	0
5	0	0	-7	0	0	100	0	0	10	10	10	5	5	10	10	0	0	0	0	0	0
5	0	0	-7	0	0	150	0	0	10	10	10	7	7	10	10	0	0	0	0	0	0
5	0	0	-7	0	1	-1	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0
5	0	0	-7	0	1	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0
5	0	0	-7	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	-7	0	1	50	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0
5	0	0	-7	0	1	100	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0
5	0	0	-7	0	1	150	0	0	0	0	0	7	7	0	0	0	0	0	0	0	0
5	0	0	-7	0	50	-1	0	0	5	5	5	5	5	5	5	0	0	0	0	0	0
5	0	0	-7	0	50	0	0	0	5	5	5	5	5	5	5	0	0	0	0	0	0
5	0	0	-7	0	50	1	0	0	5	5	5	0	0	5	5	0	0	0	0	0	0
5	0	0	-7	0	50	50	0	0	5	5	5	2	2	5	5	0	0	0	0	0	0
5	0	0	-7	0	50	100	0	0	5	5	5	5	5	5	5	0	0	0	0	0	0
5	0	0	-7	0	50	150	0	0	5	5	5	7	7	5	5	0	0	0	0	0	0
5	0	0	-7	0	100	-1	0	0	10	10	10	5	5	10	10	0	0	0	0	0	0
5	0	0	-7	0	100	0	0	0	10	10	10	5	5	10	10	0	0	0	0	0	0
5	0	0	-7	0	100	1	0	0	10	10	10	0	0	10	10	0	0	0	0	0	0
5	0	0	-7	0	100	50	0	0	10	10	10	2	2	10	10	0	0	0	0	0	0
5	0	0	-7	0	100	100	0	0	10	10	10	5	5	10	10	0	0	0	0	0	0
5	0	0	-7	0	100	150	0	0	10	10	10	7	7	10	10	0	0	0	0	0	0
5	0	0	-7	0	150	-1	0	0	15	15	15	5	5	15	15	0	0	0	0	0	0
5	0	0	-7	0	150	0	0	0	15	15	15	5	5	15	15	0	0	0	0	0	0
5	0	0	-7	0	150	1	0	0	15	15	15	0	0	15	15	0	0	0	0	0	0
5	0	0	-7	0	150	50	0	0	15	15	15	2	2	15	15	0	0	0	0	0	0
5	0	0	-7	0	150	100	0	0	15	15	15	5	5	15	15	0	0	0	0	0	0
5	0	0	-7	0	150	150	0	0	15	15	15	7	7	15	15	0	0	0	0	0	0
5	0	0	-7	1	-1	-1	0	0	10	10	10	1	1	10	10	0	0	0	0	0	0
5	0	0	-7	1	-1	0	0	0	10	10	10	1	1	10	10	0	0	0	0	0	0
5	0	0	-7	1	-1	1	0	0	10	10	10	0	0	10	10	0	0	0	0	0	0
5	0	0	-7	1	-1	50	0	0	10	10	10	0	0	10	10	0	0	0	0	0	0
5	0	0	-7	1	-1	100	0	0	10	10	10	1	1	10	10	0	0	0	0	0	0
5	0	0	-7	1	-1	150	0	0	10	10	10	1	1	10	10	0	0	0	0	0	0
5	0	0	-7	1	0	-1	0	0	10	10	10	1	1	10	10	0	0	0	0	0	0
5	0	0	-7	1	0	0	0	0	10	10	10	1	1	10	10	0	0	0	0	0	0
5	0	0	-7	1	0	1	0	0	10	10	10	0	0	10	10	0	0	0	0	0	0
