tick,input,action,last_action_144,hp,mp,oid518_count
1,none,110,0,500,500,0
2,defend,110,0,500,500,0
3,none,110,0,500,500,0
4,depth_down,110,0,500,500,0
5,none,110,0,500,500,0
6,jump,495,272,500,150,0
7,none,495,272,500,150,0
8,none,495,272,500,150,0
9,none,495,272,500,150,0
10,none,495,272,500,150,0
11,none,495,272,500,150,0
12,none,495,272,500,150,0
13,none,495,272,500,150,0
14,none,495,272,500,150,0
15,none,495,272,500,150,0
16,none,273,272,500,150,1
17,none,497,272,500,150,1
18,none,497,272,500,150,1
19,none,497,272,500,150,1
20,none,497,272,500,150,1
21,none,497,272,500,150,0
22,none,497,272,500,150,0
23,none,497,272,500,150,0
24,none,497,272,500,150,0
25,none,497,272,500,150,0
26,none,497,272,500,150,0
