tick,frame_tick,event_count,first_event_time,native_record_count,row_count,first_row_time
1,1,0,-1,0,0,-1
2,2,0,-1,0,0,-1
3,3,0,-1,0,0,-1
4,4,0,-1,0,0,-1
5,5,0,-1,0,0,-1
6,6,0,-1,0,0,-1
7,7,0,-1,0,0,-1
8,8,1,7,1,1,7
9,9,1,7,1,1,7
10,10,1,7,1,1,7
11,11,1,7,1,1,7
12,12,1,7,1,1,7
13,13,1,7,1,1,7
14,14,1,7,1,1,7
15,15,1,7,1,1,7
16,16,1,7,1,1,7
17,17,1,7,1,1,7
18,18,1,7,1,1,7
19,19,1,7,1,1,7
20,20,1,7,1,1,7
21,21,1,7,1,1,7
22,22,1,7,1,1,7
23,23,1,7,1,1,7
24,24,1,7,1,1,7
25,25,1,7,1,1,7
26,26,1,7,1,1,7
27,27,1,7,1,1,7
28,28,1,7,1,1,7
29,29,1,7,1,1,7
30,30,1,7,1,1,7
31,31,1,7,1,1,7
32,32,1,7,1,1,7
33,33,1,7,1,1,7
34,34,1,7,1,1,7
35,35,1,7,1,1,7
36,36,1,7,1,1,7
37,37,1,7,1,0,-1
38,38,1,7,1,0,-1
