target_x,attack_tick,attack_length,input_seen,authored_hit_frame_seen,attributed_knockout,first_hit_frame_tick,knockout_tick
525,2,1,1,1,1,8,8
525,2,2,1,1,1,8,8
525,4,1,1,1,1,10,10
525,4,2,1,1,1,10,10
525,6,1,1,1,1,12,12
525,6,2,1,1,1,12,12
535,2,1,1,1,1,8,8
535,2,2,1,1,1,8,8
535,4,1,1,1,1,10,10
535,4,2,1,1,1,10,10
535,6,1,1,1,1,12,12
535,6,2,1,1,1,12,12
540,2,1,1,1,1,8,8
540,2,2,1,1,1,8,8
540,4,1,1,1,1,10,10
540,4,2,1,1,1,10,10
540,6,1,1,1,1,12,12
540,6,2,1,1,1,12,12
545,2,1,1,1,1,8,8
545,2,2,1,1,1,8,8
545,4,1,1,1,1,10,10
545,4,2,1,1,1,10,10
545,6,1,1,1,1,12,12
545,6,2,1,1,1,12,12
550,2,1,1,1,1,8,8
550,2,2,1,1,1,8,8
550,4,1,1,1,1,10,10
550,4,2,1,1,1,10,10
550,6,1,1,1,1,12,12
550,6,2,1,1,1,12,12
560,2,1,1,1,1,8,9
560,2,2,1,1,1,8,9
560,4,1,1,1,1,10,10
560,4,2,1,1,1,10,10
560,6,1,1,1,1,12,12
560,6,2,1,1,1,12,12
