oldPath,class,oldGuid,ownerClass,serializedReferrers,exactScriptLiteralReferrers,formalCandidate,requiredBeforeRetirement,deleteAuthorized
Assets/NTSD/Sprite/Character/Zuozhu/sasuke_0.bmp,OLD_INDEXED_IMAGE,6d174fff55a50784d9bbf85531fb7d86,INACTIVE_EDITOR_PREVIEW_CHARACTER_SHEET,"[""Assets/NTSD/Scene/NTSD_Battle.unity""]","[""Assets/NTSD/Scripts/Animation/Rendering/Editor/BattleCentralEditorPreviewEditor.cs"", ""Assets/NTSD/Scripts/Animation/Rendering/Editor/BattleCentralEditorPreviewEditorTests.cs"", ""Assets/NTSD/Scripts/Animation/Rendering/Editor/BattleSpriteGridSeparatorEditorTests.cs""]",Assets/NTSD/Content/LoganRuntime/vfs/c/sasu/sasu.png,Separate editor-preview Scene/script/test rebind; verify frame-0 rect and importer before any retirement,false
Assets/NTSD/Sprite/OtherBg/Sunagakure.png,OTHER_IMAGE_OWNER_REVIEW,833ad1c9a686c2c4ba8f832b33f959c2,MAP_BACKGROUND,"[""Assets/NTSD/Map/SunagakureMap.asset""]",[],,Preserve exact map and Scene owners; separate background-content authority review,false
Assets/NTSD/Sprite/OtherBg/Training.png,OTHER_IMAGE_OWNER_REVIEW,702548827d06558478fd9a0d422fe8d9,MAP_BACKGROUND,"[""Assets/NTSD/Map/TrainingGroundMap.asset"", ""Assets/NTSD/Scene/NTSD_Battle.unity""]",[],,Preserve exact map and Scene owners; separate background-content authority review,false
Assets/NTSD/Sprite/UIPanels/Arrow.png,OTHER_IMAGE_OWNER_REVIEW,633440d0289a6e7419c3a8eb8676658b,MENU_UI,"[""Assets/NTSD/Scene/NTSD_Menu.unity""]",[],,Preserve Menu Scene serialized UI reference,false
Assets/NTSD/Sprite/UIPanels/BattleHud/AttackBtn.png,OTHER_IMAGE_OWNER_REVIEW,d109ef001c71c3848ba323ae77e36a11,BATTLE_HUD_UI,"[""Assets/NTSD/Scene/NTSD_Battle.unity""]",[],,Preserve Battle Scene HUD/UI serialized reference,false
Assets/NTSD/Sprite/UIPanels/BattleHud/Combo_bg.png,OTHER_IMAGE_OWNER_REVIEW,e7931736c6c9c334b96ef8fe0ecfd304,BATTLE_HUD_UI,"[""Assets/NTSD/Scene/NTSD_Battle.unity""]",[],,Preserve Battle Scene HUD/UI serialized reference,false
Assets/NTSD/Sprite/UIPanels/BattleHud/Combo_de.png,OTHER_IMAGE_OWNER_REVIEW,adf98f1469070624e9c15bda06bb36e0,BATTLE_HUD_UI,"[""Assets/NTSD/Scene/NTSD_Battle.unity""]",[],,Preserve Battle Scene HUD/UI serialized reference,false
Assets/NTSD/Sprite/UIPanels/BattleHud/Combo_jump.png,OTHER_IMAGE_OWNER_REVIEW,7971571d39c1ffd4c980001dfadf0d12,BATTLE_HUD_UI,"[""Assets/NTSD/Scene/NTSD_Battle.unity""]",[],,Preserve Battle Scene HUD/UI serialized reference,false
Assets/NTSD/Sprite/UIPanels/BattleHud/Combo_up.png,OTHER_IMAGE_OWNER_REVIEW,202e34ba31d5e814796f6b880f87af61,BATTLE_HUD_UI,"[""Assets/NTSD/Scene/NTSD_Battle.unity""]",[],,Preserve Battle Scene HUD/UI serialized reference,false
Assets/NTSD/Sprite/UIPanels/BattleHud/Contro_1.png,OTHER_IMAGE_OWNER_REVIEW,27fe2db1f431da54ea47bb87076fee68,BATTLE_HUD_UI,"[""Assets/NTSD/Scene/NTSD_Battle.unity""]",[],,Preserve Battle Scene HUD/UI serialized reference,false
