target_x,target_z,tick,input,actor_action,owned_oid434,child_slot,child_action,child_candidates_to_target,target_hp,target_action
515,650,1,defend,0,0,-1,-1,0,500,0
515,650,2,defend,110,0,-1,-1,0,500,0
515,650,3,right,110,0,-1,-1,0,500,0
515,650,4,right,110,0,-1,-1,0,500,1
515,650,5,jump,110,0,-1,-1,0,500,1
515,650,6,jump,240,0,-1,-1,0,500,1
515,650,7,none,239,0,-1,-1,0,500,1
515,650,8,none,239,0,-1,-1,0,500,2
515,650,9,none,241,0,-1,-1,0,500,2
515,650,10,none,241,0,-1,-1,0,500,2
515,650,11,none,242,0,-1,-1,0,500,2
515,650,12,none,242,0,-1,-1,0,500,3
515,650,13,none,243,0,-1,-1,0,500,3
515,650,14,none,243,0,-1,-1,0,500,3
515,650,15,none,244,0,-1,-1,0,500,3
515,650,16,none,244,0,-1,-1,0,500,0
515,650,17,none,245,0,-1,-1,0,500,0
515,650,18,none,245,0,-1,-1,0,500,0
515,650,19,none,246,0,-1,-1,0,500,0
515,650,20,none,246,0,-1,-1,0,500,1
515,650,21,none,247,0,-1,-1,0,500,1
515,650,22,none,247,0,-1,-1,0,500,1
515,650,23,none,248,0,-1,-1,0,500,1
515,650,24,none,248,0,-1,-1,0,500,2
515,650,25,none,249,0,-1,-1,0,500,2
515,650,26,none,249,0,-1,-1,0,500,2
515,650,27,none,250,0,-1,-1,0,500,2
515,650,28,none,250,0,-1,-1,0,500,3
515,650,29,none,251,0,-1,-1,0,500,3
515,650,30,none,251,0,-1,-1,0,500,3
515,650,31,none,252,0,-1,-1,0,500,3
515,650,32,none,252,0,-1,-1,0,500,0
515,650,33,none,253,0,-1,-1,0,500,0
515,650,34,none,253,0,-1,-1,0,500,0
515,650,35,none,254,1,51,35,0,500,0
515,650,36,attack,254,1,51,35,1,500,1
515,650,37,attack,0,1,51,35,1,500,1
515,650,38,none,0,1,51,21,0,500,1
515,650,39,none,0,1,51,21,0,500,1
515,650,40,none,0,1,51,21,0,500,2
515,650,41,none,1,1,51,21,0,500,2
515,650,42,none,1,1,51,21,0,500,2
515,650,43,none,1,1,51,21,0,500,2
515,650,44,none,1,1,51,21,0,500,3
515,650,45,none,2,1,51,21,0,500,3
515,650,46,none,2,1,51,21,0,500,3
515,650,47,none,2,1,51,21,0,500,3
515,650,48,none,2,1,51,21,0,500,0
515,650,49,none,3,1,51,21,0,500,0
515,650,50,none,3,1,51,21,0,500,0
515,650,51,none,3,1,51,21,0,500,0
515,650,52,none,3,1,51,21,0,500,1
515,650,53,none,0,1,51,21,0,500,1
515,650,54,none,0,1,51,21,0,500,1
515,650,55,none,0,1,51,21,0,500,1
520,650,1,defend,0,0,-1,-1,0,500,0
520,650,2,defend,110,0,-1,-1,0,500,0
520,650,3,right,110,0,-1,-1,0,500,0
520,650,4,right,110,0,-1,-1,0,500,1
520,650,5,jump,110,0,-1,-1,0,500,1
520,650,6,jump,240,0,-1,-1,0,500,1
520,650,7,none,239,0,-1,-1,0,500,1
520,650,8,none,239,0,-1,-1,0,500,2
520,650,9,none,241,0,-1,-1,0,500,2
520,650,10,none,241,0,-1,-1,0,500,2
520,650,11,none,242,0,-1,-1,0,500,2
520,650,12,none,242,0,-1,-1,0,500,3
520,650,13,none,243,0,-1,-1,0,500,3
520,650,14,none,243,0,-1,-1,0,500,3
520,650,15,none,244,0,-1,-1,0,500,3
520,650,16,none,244,0,-1,-1,0,500,0
520,650,17,none,245,0,-1,-1,0,500,0
520,650,18,none,245,0,-1,-1,0,500,0
520,650,19,none,246,0,-1,-1,0,500,0
520,650,20,none,246,0,-1,-1,0,500,1
520,650,21,none,247,0,-1,-1,0,500,1
520,650,22,none,247,0,-1,-1,0,500,1
520,650,23,none,248,0,-1,-1,0,500,1
520,650,24,none,248,0,-1,-1,0,500,2
520,650,25,none,249,0,-1,-1,0,500,2
520,650,26,none,249,0,-1,-1,0,500,2
520,650,27,none,250,0,-1,-1,0,500,2
520,650,28,none,250,0,-1,-1,0,500,3
520,650,29,none,251,0,-1,-1,0,500,3
520,650,30,none,251,0,-1,-1,0,500,3
520,650,31,none,252,0,-1,-1,0,500,3
520,650,32,none,252,0,-1,-1,0,500,0
520,650,33,none,253,0,-1,-1,0,500,0
520,650,34,none,253,0,-1,-1,0,500,0
520,650,35,none,254,1,51,35,0,500,0
520,650,36,attack,254,1,51,35,1,500,1
520,650,37,attack,0,1,51,35,1,500,1
520,650,38,none,0,1,51,21,0,500,1
520,650,39,none,0,1,51,21,0,500,1
520,650,40,none,0,1,51,21,0,500,2
520,650,41,none,1,1,51,21,0,500,2
520,650,42,none,1,1,51,21,0,500,2
520,650,43,none,1,1,51,21,0,500,2
520,650,44,none,1,1,51,21,0,500,3
520,650,45,none,2,1,51,21,0,500,3
520,650,46,none,2,1,51,21,0,500,3
520,650,47,none,2,1,51,21,0,500,3
520,650,48,none,2,1,51,21,0,500,0
520,650,49,none,3,1,51,21,0,500,0
520,650,50,none,3,1,51,21,0,500,0
520,650,51,none,3,1,51,21,0,500,0
520,650,52,none,3,1,51,21,0,500,1
520,650,53,none,0,1,51,21,0,500,1
520,650,54,none,0,1,51,21,0,500,1
520,650,55,none,0,1,51,21,0,500,1
525,650,1,defend,0,0,-1,-1,0,500,0
525,650,2,defend,110,0,-1,-1,0,500,0
525,650,3,right,110,0,-1,-1,0,500,0
525,650,4,right,110,0,-1,-1,0,500,1
525,650,5,jump,110,0,-1,-1,0,500,1
525,650,6,jump,240,0,-1,-1,0,500,1
525,650,7,none,239,0,-1,-1,0,500,1
525,650,8,none,239,0,-1,-1,0,500,2
525,650,9,none,241,0,-1,-1,0,500,2
525,650,10,none,241,0,-1,-1,0,500,2
525,650,11,none,242,0,-1,-1,0,500,2
525,650,12,none,242,0,-1,-1,0,500,3
