tick,input,actor_action,actor_mp,oid434_count,slot52_oid,slot52_action,slot52_x,slot52_vx
1,none,241,200,0,-1,-1,0,0
2,none,242,200,0,-1,-1,0,0
3,none,242,200,0,-1,-1,0,0
4,none,243,200,0,-1,-1,0,0
5,none,243,200,0,-1,-1,0,0
6,none,244,200,0,-1,-1,0,0
7,none,244,200,0,-1,-1,0,0
8,none,245,200,0,-1,-1,0,0
9,none,245,200,0,-1,-1,0,0
10,none,246,200,0,-1,-1,0,0
11,none,246,200,0,-1,-1,0,0
12,none,247,200,0,-1,-1,0,0
13,none,247,200,0,-1,-1,0,0
14,none,248,200,0,-1,-1,0,0
15,none,248,200,0,-1,-1,0,0
16,none,249,200,0,-1,-1,0,0
17,none,249,200,0,-1,-1,0,0
18,none,250,200,0,-1,-1,0,0
19,none,250,200,0,-1,-1,0,0
20,none,251,200,0,-1,-1,0,0
21,none,251,200,0,-1,-1,0,0
22,none,252,200,0,-1,-1,0,0
23,none,252,200,0,-1,-1,0,0
24,none,253,200,0,-1,-1,0,0
25,none,253,200,0,-1,-1,0,0
26,none,254,200,1,518,156,508,0
27,attack,254,200,1,518,157,508,0
28,attack,0,200,1,-1,-1,0,0
29,none,25,200,2,434,396,507,0
30,none,255,100,2,434,397,507,0
31,none,354,100,2,434,397,507,0
32,none,257,100,1,-1,-1,0,0
