tick,input,phase,actor_action,actor_mp,combo1,pending_attack,current_attack,previous_attack
1,defend,1,0,500,0,0,0,0
2,defend,0,110,500,1,0,0,0
3,right,1,110,500,1,0,0,0
4,right,0,110,500,2,0,0,0
5,jump,1,110,500,2,0,0,0
6,jump,0,240,500,0,0,0,0
7,none,1,239,350,0,0,0,0
8,none,0,239,350,0,0,0,0
9,none,1,241,350,0,0,0,0
10,none,0,241,350,0,0,0,0
11,none,1,242,350,0,0,0,0
12,none,0,242,350,0,0,0,0
13,none,1,243,350,0,0,0,0
14,none,0,243,350,0,0,0,0
15,none,1,244,350,0,0,0,0
16,none,0,244,350,0,0,0,0
17,none,1,245,350,0,0,0,0
18,none,0,245,350,0,0,0,0
19,none,1,246,350,0,0,0,0
20,none,0,246,350,0,0,0,0
21,none,1,247,350,0,0,0,0
22,none,0,247,350,0,0,0,0
23,none,1,248,350,0,0,0,0
24,none,0,248,350,0,0,0,0
25,none,1,249,350,0,0,0,0
26,none,0,249,350,0,0,0,0
27,none,1,250,350,0,0,0,0
28,none,0,250,350,0,0,0,0
29,none,1,251,350,0,0,0,0
30,none,0,251,350,0,0,0,0
31,none,1,252,350,0,0,0,0
32,none,0,252,350,0,0,0,0
33,none,1,253,350,0,0,0,0
34,none,0,253,350,0,0,0,0
35,attack,1,254,350,0,1,0,0
36,attack,0,254,350,0,1,1,0
37,none,1,0,350,0,0,1,1
38,none,0,0,350,0,0,0,1
39,none,1,0,350,0,0,0,0
40,none,0,0,350,0,0,0,0
41,none,1,1,350,0,0,0,0
42,none,0,1,350,0,0,0,0
43,none,1,1,350,0,0,0,0
44,none,0,1,350,0,0,0,0
45,none,1,2,350,0,0,0,0
46,none,0,2,350,0,0,0,0
47,none,1,2,350,0,0,0,0
48,none,0,2,350,0,0,0,0
49,none,1,3,350,0,0,0,0
50,none,0,3,350,0,0,0,0
51,none,1,3,350,0,0,0,0
52,none,0,3,350,0,0,0,0
53,none,1,0,350,0,0,0,0
54,none,0,0,350,0,0,0,0
55,none,1,0,350,0,0,0,0
