tick,input,action,last_action_144,hp,mp,oid440_count,target_hp,target_action,target_mp,target_runtime_armor_hp
1,none,110,0,500,500,0,500,0,300,0
2,defend,110,0,500,500,0,500,0,300,0
3,none,110,0,500,500,0,500,0,300,0
4,right,110,0,500,500,0,500,1,300,0
5,none,110,0,500,500,0,500,1,300,0
6,attack,261,261,500,400,0,500,1,300,0
7,none,261,261,500,400,0,500,1,300,0
8,none,261,261,500,400,0,500,2,300,0
9,none,262,261,500,400,0,500,2,300,0
10,none,262,261,500,400,0,500,2,300,0
11,none,262,261,500,400,0,500,2,300,0
12,none,263,261,500,400,0,500,3,300,0
13,none,263,261,500,400,0,500,3,300,0
14,none,263,261,500,400,0,500,3,300,0
15,none,264,261,500,400,4,500,3,300,0
16,none,264,261,500,500,4,424,186,404,0
17,none,265,261,500,500,4,424,186,404,0
18,none,265,261,500,500,4,424,186,404,0
19,none,266,261,500,500,0,424,186,404,0
20,none,266,261,500,500,0,424,187,404,0
21,none,266,261,500,500,0,424,187,404,0
22,none,266,261,500,500,0,424,187,404,0
23,none,246,261,500,500,0,424,188,404,0
24,none,246,261,500,500,0,424,188,404,0
25,none,246,261,500,500,0,424,188,404,0
26,none,246,261,500,500,0,424,188,404,0
