tick,input,action,last_action_144,hp,mp,oid440_count
1,none,110,0,500,500,0
2,defend,110,0,500,500,0
3,none,110,0,500,500,0
4,right,110,0,500,500,0
5,none,110,0,500,500,0
6,attack,261,261,500,400,0
7,none,261,261,500,400,0
8,none,261,261,500,400,0
9,none,262,261,500,400,0
10,none,262,261,500,400,0
11,none,262,261,500,400,0
12,none,263,261,500,400,0
13,none,263,261,500,400,0
14,none,263,261,500,400,0
15,none,264,261,500,400,4
16,none,264,261,500,400,4
17,none,265,261,500,400,4
18,none,265,261,500,400,4
19,none,266,261,500,400,4
20,none,266,261,500,400,4
21,none,266,261,500,400,4
22,none,266,261,500,400,4
23,none,246,261,500,400,4
24,none,246,261,500,400,4
25,none,246,261,500,400,4
26,none,246,261,500,400,4
