utc,pid,private_bytes,working_set_bytes,virtual_bytes
2026-09-22T03:12:38.7567631Z,84472,21741568,56705024,4560830464
2026-09-22T03:12:40.8108937Z,84472,52973568,90660864,6784299008
2026-09-22T03:12:42.8317045Z,84472,52973568,90660864,6784299008
2026-09-22T03:12:44.8493682Z,84472,52973568,90660864,6784299008
2026-09-22T03:12:46.8652358Z,84472,52973568,90660864,6784299008
2026-09-22T03:12:48.8820908Z,84472,455520256,372211712,14987501568
2026-09-22T03:12:50.9119022Z,84472,456347648,383074304,15009902592
2026-09-22T03:12:52.9378661Z,84472,619651072,522444800,15047344128
2026-09-22T03:12:54.9746807Z,84472,664715264,562106368,15089905664
2026-09-22T03:12:57.0714642Z,84472,664969216,562417664,15089971200
2026-09-22T03:12:59.1182565Z,84472,664936448,562405376,15088922624
2026-09-22T03:13:01.1434453Z,84472,1007665152,908861440,15355789312
2026-09-22T03:13:03.1593939Z,84472,1123262464,1062801408,15355789312
2026-09-22T03:13:05.1751966Z,84472,1232773120,1142083584,15473561600
2026-09-22T03:13:07.1886938Z,84472,1417854976,1329659904,15649624064
2026-09-22T03:13:09.2074254Z,84472,1658081280,1571803136,15891841024
2026-09-22T03:13:11.2261786Z,84472,2015100928,1905164288,17313083392
2026-09-22T03:13:13.2382955Z,84472,2429591552,2323996672,18140368896
2026-09-22T03:13:15.2590222Z,84472,2731032576,2490216448,21138788352
2026-09-22T03:13:17.2833704Z,84472,2934763520,2684760064,22929489920
2026-09-22T03:13:19.2996268Z,84472,2936918016,2687496192,22928506880
2026-09-22T03:13:21.3112333Z,84472,2820923392,2590535680,22921650176
2026-09-22T03:13:23.3262362Z,84472,2918232064,2689134592,22969761792
2026-09-22T03:13:25.3424083Z,84472,2945753088,2714288128,22994759680
2026-09-22T03:13:27.3633906Z,84472,3039498240,2751221760,24084905984
2026-09-22T03:13:29.3864227Z,84472,3041755136,2757189632,24085495808
2026-09-22T03:13:31.4027872Z,84472,3042889728,2772996096,24086806528
2026-09-22T03:13:33.4170705Z,84472,3060301824,2791206912,24103911424
2026-09-22T03:13:35.4282927Z,84472,3111518208,2841903104,24155029504
2026-09-22T03:13:37.4515048Z,84472,3146891264,2881937408,24189501440
2026-09-22T03:13:39.4724020Z,84472,3146862592,2881937408,24188432384
2026-09-22T03:13:41.4928053Z,84472,3215675392,2940727296,24257114112
2026-09-22T03:13:43.5102089Z,84472,3444641792,3175575552,24467124224
2026-09-22T03:13:45.5296118Z,84472,4543647744,4023545856,25439662080
2026-09-22T03:13:47.5408122Z,84472,5639413760,4968398848,26938449920
2026-09-22T03:13:49.5564810Z,84472,7140241408,6179172352,28747542528
2026-09-22T03:13:51.5776074Z,84472,7734439936,6562369536,29622845440
2026-09-22T03:13:53.5999599Z,84472,8214761472,6824239104,30448529408
2026-09-22T03:13:55.6157989Z,84472,9023840256,7414489088,31146647552
2026-09-22T03:13:57.6311067Z,84472,9906642944,8007614464,32921288704
2026-09-22T03:13:59.6473007Z,84472,10375966720,8279109632,33119010816
2026-09-22T03:14:01.6573174Z,84472,10992676864,8687476736,34073808896
2026-09-22T03:14:03.6734181Z,84472,11698487296,9172951040,34582159360
2026-09-22T03:14:05.6948971Z,84472,12524535808,9730621440,35782713344
2026-09-22T03:14:07.7184613Z,84472,13044801536,10142674944,36675137536
2026-09-22T03:14:09.7295297Z,84472,13048119296,10171629568,36675399680
2026-09-22T03:14:11.7387053Z,84472,13046853632,10170363904,36675342336
2026-09-22T03:14:13.7511692Z,84472,14800003072,11648331776,38466744320
2026-09-22T03:14:15.7791353Z,84472,14934781952,11770253312,38601256960
2026-09-22T03:14:17.7990910Z,84472,17002995712,12858191872,41788911616
2026-09-22T03:14:19.8210493Z,84472,18015555584,13369778176,43542347776
2026-09-22T03:14:21.8398615Z,84472,18015555584,13369913344,43542347776
2026-09-22T03:14:23.8614549Z,84472,18015555584,13369917440,43542347776
2026-09-22T03:14:25.8706991Z,84472,18015555584,13369917440,43542347776
2026-09-22T03:14:27.8789864Z,84472,18015555584,13369978880,43542347776
2026-09-22T03:14:29.9027278Z,84472,18015555584,13370036224,43542347776
2026-09-22T03:14:31.9116435Z,84472,18013437952,13369982976,43540254720
2026-09-22T03:14:33.9331832Z,84472,18013437952,13369999360,43540254720
2026-09-22T03:14:35.9446922Z,84472,18013437952,13369999360,43540254720
