utc,pid,private_bytes,working_set_bytes,virtual_bytes
2026-09-22T03:25:04.8389997Z,74740,22990848,64413696,5098303488
2026-09-22T03:25:06.8918002Z,74740,52895744,90595328,6784299008
2026-09-22T03:25:08.9081597Z,74740,52895744,90595328,6784299008
2026-09-22T03:25:10.9252510Z,74740,52895744,90595328,6784299008
2026-09-22T03:25:12.9454399Z,74740,289959936,230019072,13047787520
2026-09-22T03:25:14.9612500Z,74740,456134656,382214144,15009935360
2026-09-22T03:25:16.9783663Z,74740,609484800,516186112,15041089536
2026-09-22T03:25:18.9940056Z,74740,1014255616,917975040,15353618432
2026-09-22T03:25:21.0083121Z,74740,1138454528,1083301888,15353618432
2026-09-22T03:25:23.0179846Z,74740,1235099648,1146683392,15472766976
2026-09-22T03:25:25.0298034Z,74740,1424498688,1339817984,15655415808
2026-09-22T03:25:27.0464465Z,74740,1768341504,1683402752,15996940288
2026-09-22T03:25:29.0691300Z,74740,2061381632,1960976384,17348239360
2026-09-22T03:25:31.0920420Z,74740,2716942336,2504130560,19389198336
2026-09-22T03:25:33.1011861Z,74740,2823200768,2548723712,22810419200
2026-09-22T03:25:35.1099820Z,74740,2832818176,2559807488,22827073536
2026-09-22T03:25:37.1265377Z,74740,2843009024,2575269888,22821306368
2026-09-22T03:25:39.1378592Z,74740,2778263552,2546438144,23898148864
2026-09-22T03:25:41.1551813Z,74740,2805440512,2568966144,23922417664
2026-09-22T03:25:43.1869461Z,74740,2815574016,2581970944,23898025984
2026-09-22T03:25:45.2081771Z,74740,2910597120,2622627840,23913967616
2026-09-22T03:25:47.2217520Z,74740,2911121408,2623942656,23913967616
2026-09-22T03:25:49.2436403Z,74740,3048087552,2779009024,24050806784
2026-09-22T03:25:51.2612514Z,74740,3065397248,2789044224,24068968448
2026-09-22T03:25:53.2767168Z,74740,3114106880,2834849792,24117727232
2026-09-22T03:25:55.3008613Z,74740,3132792832,2867617792,24135356416
2026-09-22T03:25:57.3181650Z,74740,3132792832,2867650560,24135356416
2026-09-22T03:25:59.3301547Z,74740,3184599040,2910822400,24187064320
2026-09-22T03:26:01.3447529Z,74740,3322761216,3056144384,24324952064
2026-09-22T03:26:03.3694357Z,74740,3989958656,3592163328,24928882688
2026-09-22T03:26:05.3914335Z,74740,5159550976,4585857024,25945067520
2026-09-22T03:26:07.4134700Z,74740,6690406400,5754236928,28333920256
2026-09-22T03:26:09.4353610Z,74740,7262310400,6255382528,28801777664
2026-09-22T03:26:11.4490736Z,74740,7816507392,6577700864,29628182528
2026-09-22T03:26:13.4756494Z,74740,8175968256,6739378176,30388396032
2026-09-22T03:26:15.4985949Z,74740,9236439040,7569809408,31277064192
2026-09-22T03:26:17.5358960Z,74740,10079330304,8171569152,32477392896
2026-09-22T03:26:19.5521197Z,74740,10612211712,8536358912,33341808640
2026-09-22T03:26:21.5911747Z,74740,11130056704,8825266176,33730904064
2026-09-22T03:26:23.6225706Z,74740,11714633728,9199673344,34624458752
2026-09-22T03:26:25.6595106Z,74740,12338470912,9622880256,35609649152
2026-09-22T03:26:27.7148001Z,74740,13113028608,10176393216,36776386560
2026-09-22T03:26:29.7447864Z,74740,13181018112,10214498304,36812386304
2026-09-22T03:26:31.7571000Z,74740,13180903424,10214383616,36812271616
2026-09-22T03:26:33.7698500Z,74740,12999741440,10034884608,36810174464
2026-09-22T03:26:35.7998608Z,74740,14585835520,10914377728,39172677632
2026-09-22T03:26:37.8229807Z,74740,16301129728,11788677120,41655701504
2026-09-22T03:26:39.8516136Z,74740,17387913216,12525248512,43399737344
2026-09-22T03:26:41.8717858Z,74740,17387913216,12525371392,43399737344
2026-09-22T03:26:43.8869393Z,74740,17387913216,12525629440,43399737344
2026-09-22T03:26:45.9023209Z,74740,,,
2026-09-22T03:26:48.0470182Z,74740,17387913216,12683964416,43399737344
2026-09-22T03:26:50.0853232Z,74740,17387913216,12683886592,43399737344
2026-09-22T03:26:52.1794898Z,74740,17387913216,12683886592,43399737344
2026-09-22T03:26:54.2196058Z,74740,17387913216,12683948032,43399737344
2026-09-22T03:26:56.2551556Z,74740,17387913216,12683948032,43399737344
2026-09-22T03:26:58.3185527Z,74740,17387913216,12683980800,43399737344
2026-09-22T03:27:00.3502771Z,74740,17387913216,12684005376,43399737344
2026-09-22T03:27:02.3685172Z,74740,17387913216,12684005376,43399737344
2026-09-22T03:27:04.3919411Z,74740,17395109888,12698238976,43410010112
2026-09-22T03:27:06.4346093Z,74740,17395109888,12698251264,43410010112
2026-09-22T03:27:08.5044744Z,74740,17395109888,12698251264,43410010112
