"cue","declaration_count","owner_object_count","owner_object_ids","formal_vfs_exists","unity_sound_exists"
"c\ank\w\a1.wav","1","1","875","True","False"
"c\ank\w\a2.wav","1","1","875","True","False"
"c\ank\w\a3.wav","1","1","875","True","False"
"c\ank\w\a4.wav","1","1","875","True","False"
"c\ank\w\a5.wav","3","3","44;65;875","True","False"
"c\ank\w\a6.wav","1","1","875","True","False"
"c\ank\w\c1.wav","1","1","65","True","False"
"c\ank\w\d1.wav","2","2","44;65","True","False"
"c\ank\w\e1.wav","1","1","875","True","False"
"c\ank\w\e2.wav","1","1","870","True","False"
"c\ank\w\j1.wav","1","1","44","True","False"
"c\ank\w\j2.wav","1","1","65","True","False"
"c\ank\w\j3.wav","1","1","875","True","False"
"c\ank\w\j4.wav","1","1","875","True","False"
"c\ank\w\j5.wav","1","1","65","True","False"
"c\ank\w\j7.wav","1","1","875","True","False"
"c\ank\w\j8.wav","1","1","65","True","False"
"c\ank\w\p1.wav","1","1","875","True","False"
"c\ank\w\p2.wav","4","2","44;65","True","False"
"c\ank\w\p3.wav","1","1","875","True","False"
"c\ank\w\t1.wav","1","1","65","True","False"
"c\asu\w\a1.wav","1","1","431","True","False"
"c\asu\w\a2.wav","1","1","431","True","False"
"c\asu\w\a3.wav","1","1","430","True","False"
"c\asu\w\a4.wav","1","1","431","True","False"
"c\asu\w\a5.wav","1","1","430","True","False"
"c\asu\w\a6.wav","1","1","430","True","False"
"c\asu\w\a7.wav","1","1","430","True","False"
"c\asu\w\a8.wav","1","1","430","True","False"
"c\asu\w\a9.wav","1","1","430","True","False"
"c\asu\w\C.wav","1","1","430","True","False"
"c\asu\w\j1.wav","1","1","430","True","False"
"c\asu\w\j2.wav","1","1","431","True","False"
"c\asu\w\j3.wav","1","1","431","True","False"
"c\asu\w\j4.wav","1","1","430","True","False"
"c\asu\w\j5.wav","1","1","430","True","False"
"c\asu\w\p1.wav","2","1","430","True","False"
"c\asu\w\p2.wav","1","1","431","True","False"
"c\bee\w\a1.wav","1","1","441","True","False"
"c\bee\w\a2.wav","1","1","441","True","False"
"c\bee\w\a3.wav","1","1","441","True","False"
"c\bee\w\c.wav","1","1","75","True","False"
"c\bee\w\e1.wav","1","1","75","True","False"
"c\bee\w\j.wav","2","1","75","True","False"
"c\bee\w\j1.wav","1","1","441","True","False"
"c\bee\w\j2.wav","1","1","441","True","False"
"c\bee\w\j3.wav","1","1","75","True","False"
"c\bee\w\p1.wav","1","1","441","True","False"
"c\bee\w\p2.wav","2","1","75","True","False"
"c\bee\w\tm.wav","1","1","75","True","False"
"c\chi\w\a1.wav","2","2","8;419","True","False"
"c\chi\w\a2.wav","1","1","419","True","False"
"c\chi\w\a3.wav","1","1","8","True","False"
"c\chi\w\a4.wav","1","1","8","True","False"
"c\chi\w\a5.wav","2","2","8;419","True","False"
"c\chi\w\a6.wav","1","1","8","True","False"
"c\chi\w\j1.wav","1","1","8","True","False"
"c\chi\w\j2.wav","1","1","8","True","False"
"c\chi\w\j3.wav","1","1","8","True","False"
"c\chi\w\j4.wav","2","1","8","True","False"
"c\chi\w\j5.wav","1","1","8","True","False"
"c\chi\w\p2.wav","1","1","8","True","False"
"c\chi\w\p3.wav","1","1","8","True","False"
"c\chi\w\p4.wav","3","1","8","True","False"
"c\chi\w\p6.wav","1","1","8","True","False"
"c\chi\w\t1.wav","1","1","8","True","False"
"c\chi\w\t2.wav","1","1","8","True","False"
"c\dan\w\a1.wav","1","1","406","True","False"
"c\dan\w\a2.wav","1","1","406","True","False"
"c\dan\w\a3.wav","1","1","72","True","False"
"c\dan\w\a4.wav","1","1","406","True","False"
"c\dan\w\c.wav","1","1","406","True","False"
"c\dan\w\e1.wav","1","1","406","True","False"
"c\dan\w\e2.wav","1","1","408","True","False"
"c\dan\w\j1.wav","1","1","406","True","False"
"c\dan\w\j10.wav","1","1","406","True","False"
"c\dan\w\j11.wav","1","1","72","True","False"
"c\dan\w\j12.wav","1","1","72","True","False"
"c\dan\w\j13.wav","2","1","604","True","False"
"c\dan\w\j2.wav","1","1","406","True","False"
"c\dan\w\j3.wav","1","1","406","True","False"
"c\dan\w\j4.wav","1","1","604","True","False"
"c\dan\w\j5.wav","1","1","604","True","False"
"c\dan\w\j6.wav","1","1","406","True","False"
"c\dan\w\j7.wav","1","1","406","True","False"
"c\dan\w\j8.wav","1","1","406","True","False"
"c\dan\w\j9.wav","1","1","406","True","False"
"c\dan\w\p1.wav","5","3","72;406;604","True","False"
"c\dan\w\t.wav","1","1","604","True","False"
"c\dan\w\t2.wav","1","1","72","True","False"
"c\dei\w\a1.wav","2","2","10;45","True","False"
"c\dei\w\a2.wav","1","1","225","True","False"
"c\dei\w\a3.wav","1","1","225","True","False"
"c\dei\w\a4.wav","1","1","225","True","False"
"c\dei\w\a5.wav","1","1","225","True","False"
"c\dei\w\c.wav","4","4","10;45;46;58","True","False"
"c\dei\w\j1.wav","1","1","225","True","False"
"c\dei\w\j2.wav","1","1","225","True","False"
"c\dei\w\j3.wav","1","1","225","True","False"
"c\dei\w\j4.wav","1","1","225","True","False"
"c\dei\w\j5.wav","1","1","225","True","False"
"c\dei\w\p1.wav","1","1","225","True","False"
"c\dei\w\p2.wav","1","1","225","True","False"
"c\dei\w\p3.wav","5","5","10;45;46;58;225","True","False"
"c\dei\w\p4.wav","4","2","10;45","True","False"
"c\gaa\w\a1.wav","1","1","411","True","False"
"c\gaa\w\a2.wav","1","1","16","True","False"
"c\gaa\w\a3.wav","1","1","411","True","False"
"c\gaa\w\a4.wav","1","1","411","True","False"
"c\gaa\w\a5.wav","1","1","411","True","False"
"c\gaa\w\c.wav","1","1","16","True","False"
"c\gaa\w\GJ.wav","1","1","16","True","False"
"c\gaa\w\j.wav","1","1","16","True","False"
"c\gaa\w\j1.wav","1","1","16","True","False"
"c\gaa\w\j2.wav","1","1","411","True","False"
"c\gaa\w\j3.wav","1","1","16","True","False"
"c\gaa\w\j4.wav","1","1","16","True","False"
"c\gaa\w\j5.wav","1","1","16","True","False"
"c\gaa\w\p1.wav","1","1","16","True","False"
"c\gaa\w\p2.wav","1","1","16","True","False"
"c\gaa\w\p3.wav","2","1","16","True","False"
"c\gaa\w\p4.wav","2","2","16;84","True","False"
"c\gaa\w\r.wav","1","1","16","True","False"
"c\gur\w\a2.wav","1","1","619","True","False"
"c\gur\w\j1.wav","1","1","619","True","False"
"c\gur\w\j2.wav","1","1","84","True","False"
"c\gur\w\j4.wav","1","1","619","True","False"
"c\gur\w\j6.wav","1","1","619","True","False"
"c\gur\w\p1.wav","2","2","84;85","True","False"
"c\gur\w\p3.wav","3","3","84;85;619","True","False"
"c\gur\w\t1.wav","1","1","84","True","False"
"c\guy\w\a1.wav","1","1","760","True","False"
"c\guy\w\a2.wav","1","1","760","True","False"
"c\guy\w\a3.wav","1","1","760","True","False"
"c\guy\w\a4.wav","1","1","760","True","False"
"c\guy\w\c.wav","4","4","94;97;506;760","True","False"
"c\guy\w\j1.wav","1","1","760","True","False"
"c\guy\w\j2.wav","1","1","760","True","False"
"c\guy\w\j3.wav","1","1","760","True","False"
