cue,formal_format,formal_channels,formal_sample_width_bytes,formal_sample_rate,formal_frame_count,formal_duration_ms,unity_format,unity_channels,unity_sample_width_bytes,unity_sample_rate,unity_frame_count,unity_duration_ms,same_duration_ms
data/015.wav,PCM,1,2,44100,7153,162.2,PCM,1,2,44100,7153,162.2,True
data/021.wav,PCM,1,1,38400,34310,893.49,PCM,1,1,38400,34310,893.49,True
data/028.wav,PCM,1,1,22050,15060,682.993,PCM,1,2,22050,16138,731.882,False
data/029.wav,PCM,1,1,22050,9589,434.875,PCM,1,1,22050,9589,434.875,True
data\002.wav,PCM,1,1,32000,9257,289.281,PCM,1,2,32000,11789,368.406,False
data\003.wav,PCM,1,2,22050,4857,220.272,PCM,1,2,22050,4857,220.272,True
data\004.wav,PCM,1,2,22050,5536,251.066,PCM,1,2,22050,5536,251.066,True
data\005.wav,PCM,1,1,22050,21584,978.866,PCM,1,2,22050,21584,978.866,True
data\007.wav,PCM,1,2,22050,2099,95.193,PCM,1,2,22050,2099,95.193,True
data\008.wav,PCM,1,2,22050,3144,142.585,PCM,1,2,22050,3144,142.585,True
data\009.wav,PCM,1,2,22050,7441,337.46,PCM,1,2,22050,7441,337.46,True
data\010.wav,PCM,1,1,44000,11449,260.205,PCM,1,1,44000,11449,260.205,True
data\012.wav,PCM,1,2,22050,2085,94.558,PCM,1,2,22050,2085,94.558,True
data\013.wav,PCM,1,2,22050,5384,244.172,PCM,1,2,22050,5384,244.172,True
data\014.wav,PCM,1,1,44100,19318,438.05,PCM,1,2,44100,24268,550.295,False
data\015.wav,PCM,1,2,44100,7153,162.2,PCM,1,2,44100,7153,162.2,True
data\016.wav,PCM,1,1,22100,8158,369.14,PCM,1,1,22100,8158,369.14,True
data\017.wav,PCM,1,1,22050,15106,685.079,PCM,1,1,22050,15106,685.079,True
data\018.wav,PCM,1,1,22050,11935,541.27,PCM,1,2,22050,11935,541.27,True
data\019.wav,PCM,1,1,22050,14817,671.973,PCM,1,2,22050,15650,709.751,False
data\020.wav,PCM,1,1,22050,16413,744.354,PCM,1,2,22050,16776,760.816,False
data\021.wav,PCM,1,1,38400,34310,893.49,PCM,1,1,38400,34310,893.49,True
data\025.wav,PCM,1,2,21000,4240,201.905,PCM,1,2,21000,4240,201.905,True
data\027.wav,PCM,1,2,22050,7963,361.134,PCM,1,2,22050,7963,361.134,True
data\028.wav,PCM,1,1,22050,15060,682.993,PCM,1,2,22050,16138,731.882,False
data\029.wav,PCM,1,1,22050,9589,434.875,PCM,1,1,22050,9589,434.875,True
data\030.wav,PCM,1,1,22000,22152,1006.909,PCM,1,1,22000,22152,1006.909,True
data\031.wav,PCM,1,1,22050,22729,1030.794,PCM,1,2,22050,24763,1123.039,False
data\034.wav,PCM,1,2,22050,9378,425.306,PCM,1,2,22050,9378,425.306,True
data\035.wav,PCM,1,1,22050,12372,561.088,PCM,1,2,22050,16882,765.624,False
data\036.wav,PCM,1,1,20200,17092,846.139,PCM,1,2,20200,20880,1033.663,False
data\038.wav,PCM,1,1,10000,798,79.8,PCM,1,1,10000,798,79.8,True
data\039.wav,PCM,1,1,11025,2647,240.091,PCM,1,1,11025,2647,240.091,True
data\041.wav,PCM,1,2,22050,8133,368.844,PCM,1,2,22050,8133,368.844,True
data\042.wav,PCM,1,2,11300,5470,484.071,PCM,1,2,11300,5470,484.071,True
data\043.wav,PCM,1,1,22050,13641,618.639,PCM,1,2,22050,13641,618.639,True
data\046.wav,PCM,1,1,22050,12160,551.474,PCM,1,2,22050,13274,601.995,False
data\048.wav,PCM,1,1,22050,9980,452.608,PCM,1,2,22050,12552,569.252,False
data\049.wav,PCM,1,1,22050,32908,1492.426,PCM,1,2,22050,32908,1492.426,True
data\052.wav,PCM,1,1,11025,9660,876.19,PCM,1,1,11025,9660,876.19,True
data\053.wav,PCM,1,1,11025,5746,521.179,PCM,1,1,11025,5746,521.179,True
data\054.wav,PCM,1,1,22000,20159,916.318,PCM,1,2,22000,22676,1030.727,False
